opcode,latitude_dd,longitude_dd,date_time,site,location,status,depth_m,observer_count,observer_length,juvenile_lethrinids,successful_count,successful_length,drop_lengths_due_to_vis,visibility_m,raw_hdd_number,left_camera,right_camera,forwards_habitat_image_saved,successful_habitat_forward,observer_habitat_forward,maxn_complete_date,maxn_checker,length_complete_date,comment,strata,inclusion_probability,priority,sampling_design
EG-C02-048,-21.8002667,114.5490333,2024-05-01T08:18:54+08:00,C02,Exmouth Gulf,Fished,1,Bri Beaulieu,Daniel Agnello,,Yes,Yes,,4,1,L002,R001,Yes,Yes,Nidhi Menon,21/05/2024,Alex McLennan,23/07/2024,GPS off,coral,0.0000003244777936,,spatially balanced
EG-C02-049,-21.8002833,114.53525,2024-05-01T08:28:55+08:00,C02,Exmouth Gulf,Fished,1.3,Bri Beaulieu,Daniel Agnello,,Yes,Yes,,4,1,L004,R003,Yes,Yes,Nidhi Menon,29/05/2024,Alex McLennan,23/07/2024,GPS off,coral,0.0000003244777936,,spatially balanced
EG-C02-050,-21.8146667,114.5505667,2024-05-01T08:31:54+08:00,C02,Exmouth Gulf,Fished,3.3,Bri Beaulieu,Daniel Agnello,,Yes,Yes,,2,1,L008,R007,Yes,Yes,Nidhi Menon,30/05/2024,Alex McLennan,24/07/2024,GPS off,coral,0.0000003244777936,,spatially balanced
EG-C02-051,-21.7816667,114.5523167,2024-05-01T08:40:00+08:00,C02,Exmouth Gulf,Fished,8.7,Bri Beaulieu,Daniel Agnello,,Yes,Yes,,1.5,1,L010,R009,Yes,Yes,Nidhi Menon,26/06/2024,Alex McLennan,30/07/2024,GPS off,coral,0.0000003244777936,,spatially balanced
EG-C02-052,-21.7770667,114.5551833,2024-05-01T08:51:27+08:00,C02,Exmouth Gulf,Fished,8.5,Bri Beaulieu,Daniel Agnello,,Yes,Yes,Maybe,2,1,L014,R013,Yes,Yes,Nidhi Menon,11/06/2024,Alex McLennan,30/07/2024,GPS off,coral,0.0000003244777936,,spatially balanced
EG-C02-002,-21.7769667,114.5524333,2024-05-01T08:57:02+08:00,C02,Exmouth Gulf,Fished,9.8,Bri Beaulieu,Daniel Agnello,,Yes,Yes,,1.5,1,L016,R015,Yes,Yes,Nidhi Menon,27/06/2024,Alex McLennan,30/07/2024,GPS off,coral,0.0000003244777936,,spatially balanced
EG-CPO-001,-21.8140167,114.54915,2024-05-01T09:17:13+08:00,CPO,Exmouth Gulf,Fished,2.9,,,,,No,,2.5,1,L018,R017,,,,,,,"Pre and Post-Cals are bad. Assumed the camera was not placed in the housing correctly. GPS off, captain pick ",,,,preferential (captains pick)
EG-C14-111,-21.68408493,114.4748599,2024-05-01T09:29:12+08:00,C14,Exmouth Gulf,Fished,15.4,Bri Beaulieu,Daniel Agnello,,Yes,Yes,,2,1,L006,R005,Yes,Yes,Nidhi Menon,11/06/2024,Alex McLennan,30/07/2024,GPS location wrong use sample plan location. Filmed the wrong opcode at the start.,filter_feeders,0.00000002625901012,,spatially balanced
EG-C14-112,-21.68423883,114.484985,2024-05-01T09:33:16+08:00,C14,Exmouth Gulf,Fished,14.9,Bri Beaulieu,Daniel Agnello,,Yes,Yes,,1.5,1,L024,R023,Yes,Yes,Nidhi Menon,27/06/2024,Alex McLennan,30/07/2024,GPS error not exact spot,filter_feeders,0.00000002625901012,,spatially balanced
EG-C14-110,-21.69167833,114.49003,2024-05-01T09:39:03+08:00,C14,Exmouth Gulf,Fished,15.4,Bri Beaulieu,Daniel Agnello,,Yes,Yes,,1.5,1,L022,R021,Yes,Yes,Nidhi Menon,28/06/2024,Alex McLennan,06/08/2024,Bait gone on retreival,filter_feeders,0.00000002625901012,,spatially balanced
EG-C14-014,-21.70138026,114.4848282,2024-05-01T09:46:12+08:00,C14,Exmouth Gulf,Fished,16.3,Ryan Simms,Alex McLennan,,Yes,Yes,Maybe,1,1,L032,R031,Yes,Yes,Ryan Simms,19/08/2024,Alex McLennan,21/08/2024,Filmed the wrong opcode at the start- shows EG-C14-110. Annotated right video as left video partially obstructed,filter_feeders,0.00000002625901012,,spatially balanced
EG-C14-108,-21.70061667,114.4746467,2024-05-01T09:52:22+08:00,C14,Exmouth Gulf,Fished,13.4,Bri Beaulieu,Daniel Agnello,,Yes,Yes,,2,1,L026,R025,Yes,Yes,Nidhi Menon,13/06/2024,Alex McLennan,06/08/2024,,filter_feeders,0.00000002625901012,,spatially balanced
EG-C14-109,-21.69240167,114.4697183,2024-05-01T09:58:50+08:00,C14,Exmouth Gulf,Fished,15.6,,,,,No,,2,1,L028,R1201,,,,,,,Bait gone on retreival. Footage was not saved for the right cam,filter_feeders,0.00000002625901012,,spatially balanced
EG-C05-065,-21.74655,114.5427333,2024-05-01T10:52:30+08:00,C05,Exmouth Gulf,Fished,5.4,Bri Beaulieu,Ryan Simms,,Yes,Yes,,3,1,L002,R001,Yes,Yes,Nidhi Menon,30/05/2024,Ryan Simms,02/08/2024,GPS off ,coral,0.0000003244777936,,spatially balanced
EG-C05-063,-21.7488667,114.5384,2024-05-01T10:57:54+08:00,C05,Exmouth Gulf,Fished,6.8,Bri Beaulieu,Ryan Simms,,Yes,Yes,,2,1,L004,R003,Yes,Yes,Nidhi Menon,15/06/2024,Alex McLennan,07/08/2024,GPS OFF,coral,0.0000003244777936,,spatially balanced
EG-C05-005,-21.74645,114.53985,2024-05-01T11:02:16+08:00,C05,Exmouth Gulf,Fished,4.8,Bri Beaulieu,Ryan Simms,,Yes,Yes,,4,1,L008,R007,Yes,Yes,Nidhi Menon,31/05/2024,Alex McLennan,02/08/2024,GPS off,coral,0.0000003244777936,,spatially balanced
EG-C05-067,-21.7441833,114.5413833,2024-05-01T11:06:05+08:00,C05,Exmouth Gulf,Fished,2.7,Bri Beaulieu,,,,No,,3.5,1,L010,R009,,,,,,,"GPS OFF, right camera off on retrieval- maxn not completed (no right cam sync)",coral,0.0000003244777936,,spatially balanced
EG-C05-066,-21.7441167,114.5384833,2024-05-01T11:10:13+08:00,C05,Exmouth Gulf,Fished,2.3,,,,,No,,7,1,L014,R013,,,,,,,"GPS OFF, both cameras off on retrieval",coral,0.0000003244777936,,spatially balanced
EG-C05-064,-21.7464667,114.5370333,2024-05-01T11:17:45+08:00,C05,Exmouth Gulf,Fished,7,Bri Beaulieu,Ryan Simms,,Yes,Yes,,2.5,1,L016,R015,Yes,Yes,Nidhi Menon,02/06/2024,Alex McLennan,05/08/2024,GPS OFF,coral,0.0000003244777936,,spatially balanced
EG-CPO-002,-21.7428333,114.5374167,2024-05-01T11:27:04+08:00,CPO,Exmouth Gulf,Fished,3.3,Bri Beaulieu,Ryan Simms,,Yes,Yes,,3,1,L018,R017,Yes,Yes,Nidhi Menon,15/07/2024,Ryan Simms,05/08/2024,GPS OFF captains pick from sounder- period moved to when bruv is dragged and dropped again,,,,preferential (captains pick)
EG-C25-167,-21.72537833,114.4778417,2024-05-01T11:35:30+08:00,C25,Exmouth Gulf,Fished,16.9,,,,,No,,1.5,1,L028,R1201,,,,,,,Footage was not saved for the right cam,sand_sparse,0.000000004265529192,,spatially balanced
EG-C25-164,-21.73405833,114.47291,2024-05-01T11:40:13+08:00,C25,Exmouth Gulf,Fished,11.2,Ryan Simms,,,Yes,,,4,1,L026,R025,Yes,Yes,Nidhi Menon,21/08/2024,,,Captains pick (previous waypoint matched C24 deployment location).,sand_sparse,0.000000004265529192,,spatially balanced - moved
EG-C25-166,-21.746295,114.4898583,2024-05-01T11:47:42+08:00,C25,Exmouth Gulf,Fished,13.1,Bri Beaulieu,Ryan Simms,,Yes,Yes,,2,1,L032,R031,Yes,Yes,Nidhi Menon,17/06/2024,Alex McLennan,07/08/2024,,sand_sparse,0.000000004265529192,,spatially balanced
EG-C25-025,-21.74645167,114.4637733,2024-05-01T11:57:04+08:00,C25,Exmouth Gulf,Fished,14.6,,,,,No,,1.5,1,L022,R021,,,,,,,"Pinnacle on sounder, rCam off on recovery, battery connection issue.",sand_sparse,0.000000004265529192,,spatially balanced
EG-C25-165,-21.77545905,114.4768929,2024-05-01T12:09:43+08:00,C25,Exmouth Gulf,Fished,13.7,,,,,,,1.5,1,L024,R023,,,,,,,"Whiteboard may be EG-C25-161, location in skippers plotter different to iPad",sand_sparse,0.000000004265529192,,spatially balanced - moved
EG-C25-163,-21.78662833,114.4638783,2024-05-01T12:15:46+08:00,C25,Exmouth Gulf,Fished,14.2,Bri Beaulieu,Daniel Agnello,,Yes,Yes,Maybe,1,1,L006,R005,Yes,Yes,Nidhi Menon,23/07/2024,Daniel Agnello,12/08/2024,Vis drops drastically at 25 minutes- can get lengths from start,sand_sparse,0.000000004265529192,,spatially balanced
EG-CPO-003,-21.7525,114.5717667,2024-05-01T12:51:32+08:00,CPO,Exmouth Gulf,Fished,6.5,Bri Beaulieu,Daniel Agnello,,Yes,Yes,,2,1,L002,R001,Yes,Yes,Nidhi Menon,15/07/2024,Daniel Agnello,06/08/2024,"GPS off, spider reef",,,,preferential (captains pick)
EG-CPO-004,-21.7540667,114.5733,2024-05-01T12:56:52+08:00,CPO,Exmouth Gulf,Fished,6.6,Bri Beaulieu,Daniel Agnello,,Yes,Yes,,3,1,L004,R003,Yes,Yes,Nidhi Menon,16/07/2024,Daniel Agnello,06/08/2024,"GPS off, spider reef, came up with no bait left",,,Leave for next analysis period,preferential (captains pick)
EG-CPO-005,-21.7543,114.5706667,2024-05-01T12:58:32+08:00,CPO,Exmouth Gulf,Fished,4,Bri Beaulieu,Daniel Agnello,,Yes,Yes,,3,1,L008,R007,Yes,Yes,Nidhi Menon,16/07/2024,Daniel Agnello,12/08/2024,"GPS off, spider reef, top of the tides with bust up on surface",,,Leave for next analysis period,preferential (captains pick)
EG-CPO-006,-21.7564833,114.5714833,2024-05-01T13:07:07+08:00,CPO,Exmouth Gulf,Fished,5.1,,,,,No,,3.5,1,L010,R009,,,,,,,"GPS off, spider reef, right camera off on deployment ",,,Leave for next analysis period,preferential (captains pick)
EG-CPO-007,-21.7784167,114.5792,2024-05-01T13:14:36+08:00,CPO,Exmouth Gulf,Fished,11.1,Daniel Agnello,Alex McLennan,,Yes,Yes,Maybe,1,1,L016,R015,Yes,Yes,Nidhi Menon,23/07/2024,Alex McLennan,16/08/2024,"GPS off, web reef, placed on flat ground, couldn’t find interesting site at coordinates given by sally for web reef",,,,preferential (captains pick)
EG-CPO-008,-21.77325,114.5764167,2024-05-01T13:39:33+08:00,CPO,Exmouth Gulf,Fished,11.3,,,,No,No,,0,1,L018,R017,,,,,,,"Post-Cal is good, Pre-cal is bad. GPS off, flat ground, lats and longs given by sally",,,,preferential (captains pick)
EG-C24-160,-21.766245,114.4515083,2024-05-01T13:51:16+08:00,C24,Exmouth Gulf,Fished,13.8,Ryan Simms,Alex McLennan,,Yes,Yes,,1,1,L006,R005,Yes,Yes,Ryan Simms,19/08/2024,Alex McLennan,21/08/2024,,sand_sparse,0.000000004265529192,,spatially balanced
EG-C24-024,-21.745635,114.4392617,2024-05-01T14:02:18+08:00,C24,Exmouth Gulf,Fished,13.2,Bri Beaulieu,Ryan Simms,,Yes,Yes,,2,1,L024,R023,Yes,Yes,Nidhi Menon,17/06/2024,Alex McLennan,07/08/2024,,sand_sparse,0.000000004265529192,,spatially balanced
EG-C24-162,-21.745385,114.4141117,2024-05-01T14:10:57+08:00,C24,Exmouth Gulf,Fished,13.3,Bri Beaulieu,Ryan Simms,,Yes,Yes,,2,1,L022,R021,Yes,Yes,Nidhi Menon,18/06/2024,Alex McLennan,07/08/2024,,sand_sparse,0.000000004265529192,,spatially balanced
EG-C24-159,-21.765945,114.426325,2024-05-01T14:19:41+08:00,C24,Exmouth Gulf,Fished,13.2,Bri Beaulieu,Ryan Simms,,Yes,Yes,,2.5,1,L032,R031,Yes,Yes,Nidhi Menon,04/06/2024,Alex McLennan,05/08/2024,,sand_sparse,0.000000004265529192,,spatially balanced
EG-C24-158,-21.78649333,114.4388917,2024-05-01T14:28:44+08:00,C24,Exmouth Gulf,Fished,13.1,Bri Beaulieu,Ryan Simms,,Yes,Yes,,1.5,1,L026,R025,Yes,Yes,Nidhi Menon,01/07/2024,Alex McLennan,09/08/2024,,sand_sparse,0.000000004265529192,,spatially balanced
EG-C24-161C,-21.78618667,114.4166733,2024-05-01T14:37:54+08:00,C24,Exmouth Gulf,Fished,8.7,,,,,No,,3,1,L028,R1201,,,,,,,"Footage was not saved for the right cam. Captains call, previous 151 waypoint duplicated in c25",,,,spatially balanced - moved
EG-CPO-009,-21.6116333,114.5086,2024-05-01T15:25:35+08:00,CPO,Exmouth Gulf,Fished,9,,,,,,,4.5,1,L002,R001,,,,,,,"GPS off, Peak island ",,,Leave for next analysis period,preferential (captains pick)
EG-CPO-010,-21.6092,114.5085167,2024-05-01T15:28:17+08:00,CPO,Exmouth Gulf,Fished,7.2,,,,,,,6,1,L004,R003,,,,,,,"GPS off, peak island ",,,Leave for next analysis period,preferential (captains pick)
EG-CPO-011,-21.6068667,114.50845,2024-05-01T15:30:51+08:00,CPO,Exmouth Gulf,Fished,5.7,,,,,,,8,1,L008,R007,,,,,,,"GPS off, peak island",,,Leave for next analysis period,preferential (captains pick)
EG-CPO-012,-21.6038833,114.5081667,2024-05-01T15:33:38+08:00,CPO,Exmouth Gulf,Fished,6.2,,,,,No,,7,1,L010,R009,,,,,,,"Gps off, right camera off on deployment, peak island- shown op code-CPO-011",,,Leave for next analysis period,preferential (captains pick)
EG-CPO-013,-21.6013333,114.50795,2024-05-01T15:38:13+08:00,CPO,Exmouth Gulf,Fished,3.3,Bri Beaulieu,Ryan Simms,,Yes,Yes,,7,1,L016,R015,Yes,Yes,Nidhi Menon,18/07/2024,Ryan Simms,01/08/2024,"GPS off, peak island- shown CPO-012",,,,preferential (captains pick)
EG-CPO-014,-21.5993667,114.5101833,2024-05-01T15:44:40+08:00,CPO,Exmouth Gulf,Fished,7,Daniel Agnello,,,Yes,No,,9,1,L018,R017,Yes,Yes,Nidhi Menon,24/07/2024,,,"Pre and Post-Cals are bad. Assumed the camera was not placed in the housing correctly. Octopus and tawny shark. GPS off, peak island north side",,,SG,preferential (captains pick)
EG-C41-247,-21.811,114.3509767,2024-05-02T08:11:18+08:00,C41,Exmouth Gulf,Fished,,,,,No,No,,0,1,L028,R1201,,,,,,,,vegetated,0.00000001853181681,,spatially balanced
EG-C41-246,-21.82081333,114.3568917,2024-05-02T08:16:30+08:00,C41,Exmouth Gulf,Fished,14.7,Bri Beaulieu,Ryan Simms,,Yes,Yes,Maybe,1.5,1,L026,R025,Yes,Yes,Nidhi Menon,01/07/2024,Alex McLennan,09/08/2024,,vegetated,0.00000001853181681,,spatially balanced
EG-C41-244,-21.840275,114.3683967,2024-05-02T08:26:25+08:00,C41,Exmouth Gulf,Fished,16.1,,,,,,,1,1,L032,R031,,,,,,,,vegetated,0.00000001853181681,,spatially balanced
EG-C41-243,-21.84037667,114.3566733,2024-05-02T08:31:42+08:00,C41,Exmouth Gulf,Fished,17.8,Bri Beaulieu,Ryan Simms,,Yes,Yes,,2,1,L024,R023,Yes,Yes,Nidhi Menon,18/06/2024,Alex McLennan,08/08/2024,,vegetated,0.00000001853181681,,spatially balanced
EG-C06-006,-21.89434333,114.4450867,2024-05-02T08:36:13+08:00,C06,Exmouth Gulf,Fished,11.6,Bri Beaulieu,Ryan Simms,,Yes,Yes,,2,1,L002,R001,Yes,Yes,Nidhi Menon,19/06/2024,Alex McLennan,08/08/2024,,coral,0.0000003244777936,,spatially balanced
EG-C41-041,-21.83058,114.3507333,2024-05-02T08:36:36+08:00,C41,Exmouth Gulf,Fished,19.2,,,,No,No,,0,1,L022,R021,,,,,,,,vegetated,0.00000001853181681,,spatially balanced
EG-C41-245,-21.82071126,114.3448275,2024-05-02T08:41:35+08:00,C41,Exmouth Gulf,Fished,18,,,,,,,1,1,L006,R005,,,,,,,,vegetated,0.00000001853181681,,spatially balanced
EG-C06-071,-21.8990258,114.4478149,2024-05-02T08:42:07+08:00,C06,Exmouth Gulf,Fished,11.1,Bri Beaulieu,Daniel Agnello,,Yes,Yes,,1,1,L004,R003,Yes,Yes,Nidhi Menon,22/07/2024,Daniel Agnello,12/08/2024,bad vis- revisit,coral,0.0000003244777936,,spatially balanced
EG-C06-072,-21.89919,114.4564967,2024-05-02T08:50:11+08:00,C06,Exmouth Gulf,Fished,11,Bri Beaulieu,Ryan Simms,,Yes,Yes,,2,1,L008,R007,Yes,Yes,Nidhi Menon,19/06/2024,Alex McLennan,08/08/2024,,coral,0.0000003244777936,,spatially balanced
EG-C06-070,-21.90142431,114.4521005,2024-05-02T08:56:36+08:00,C06,Exmouth Gulf,Fished,11.3,Ryan Simms,Alex McLennan,,Yes,Yes,,1,1,L010,R009,Yes,Yes,Ryan Simms,19/08/2024,Alex McLennan,21/08/2024,,coral,0.0000003244777936,,spatially balanced
EG-C06-069,-21.90363639,114.4477299,2024-05-02T09:00:49+08:00,C06,Exmouth Gulf,Fished,12.1,Ryan Simms,Alex McLennan,,Yes,Yes,,1,1,L014,R013,Yes,Yes,Ryan Simms,20/08/2024,Alex McLennan,21/08/2024,,coral,0.0000003244777936,,spatially balanced
EG-C06-068,-21.90355167,114.4420067,2024-05-02T09:05:21+08:00,C06,Exmouth Gulf,Fished,12.2,,,,,,,1,1,L016,R015,,,,,,,,coral,0.0000003244777936,,spatially balanced
EG-CPO-015,-21.90087805,114.4323523,2024-05-02T09:19:24+08:00,CPO,Exmouth Gulf,Fished,12.1,,,,No,No,,0,1,L018,R017,,,,,,,"Captains pick, Pearl reef, couldn’t find pinnacle of reef. Changed vis from 1.5m to 1.0m",,,TH,preferential (captains pick)
EG-C03-057,-21.88853333,114.3846567,2024-05-02T10:32:34+08:00,C03,Exmouth Gulf,Fished,14.7,,,,No,No,,0,1,L006,R005,,,,,,,,coral,0.0000003244777936,,spatially balanced
EG-C03-003,-21.89097667,114.388925,2024-05-02T10:35:32+08:00,C03,Exmouth Gulf,Fished,14.7,,,,,,,1,1,L022,R021,,,,,,,White board initially says C03-054,coral,0.0000003244777936,,spatially balanced
EG-C07-075,-21.92434167,114.4286183,2024-05-02T10:36:47+08:00,C07,Exmouth Gulf,Fished,2.4,Bri Beaulieu,Ryan Simms,,Yes,Yes,,3,1,L002,R001,Yes,Yes,Nidhi Menon,04/06/2024,Alex McLennan,05/08/2024,,coral,0.0000003244777936,,spatially balanced
EG-C03-056,-21.89334833,114.3900983,2024-05-02T10:39:06+08:00,C03,Exmouth Gulf,Fished,14.7,,,,,,,1,1,L024,R023,,,,,,,,coral,0.0000003244777936,,spatially balanced
EG-C07-076,-21.92442679,114.4314569,2024-05-02T10:41:39+08:00,C07,Exmouth Gulf,Fished,0.6,Bri Beaulieu,Ryan Simms,,Yes,Yes,,2,1,L004,R003,Yes,Yes,Nidhi Menon,20/06/2024,Alex McLennan,08/08/2024,,coral,0.0000003244777936,,spatially balanced
EG-C03-055,-21.893455,114.3875033,2024-05-02T10:43:06+08:00,C03,Exmouth Gulf,Fished,14.6,Bri Beaulieu,Ryan Simms,,Yes,Yes,,1.5,1,L032,R031,Yes,Yes,Nidhi Menon,04/07/2024,Alex McLennan,09/08/2024,,coral,0.0000003244777936,,spatially balanced
EG-C07-077,-21.92446833,114.4344083,2024-05-02T10:46:39+08:00,C07,Exmouth Gulf,Fished,6.6,Bri Beaulieu,Ryan Simms,,Yes,Yes,,2,1,L008,R007,Yes,Yes,Nidhi Menon,21/06/2024,Alex McLennan,08/08/2024,,coral,0.0000003244777936,,spatially balanced
EG-C03-054,-21.89337464,114.3844597,2024-05-02T10:46:42+08:00,C03,Exmouth Gulf,Fished,14.7,,,,,,,1,1,L026,R025,,,,,,,,coral,0.0000003244777936,,spatially balanced
EG-C03-053,-21.895775,114.38859,2024-05-02T10:50:09+08:00,C03,Exmouth Gulf,Fished,14.6,Bri Beaulieu,Ryan Simms,,Yes,Yes,,1.5,1,L028,R1201,Yes,Yes,Nidhi Menon,08/07/2024,Alex McLennan,09/08/2024,,coral,0.0000003244777936,,spatially balanced
EG-C07-007,-21.92679667,114.4329167,2024-05-02T10:51:26+08:00,C07,Exmouth Gulf,Fished,4,Bri Beaulieu,Ryan Simms,,Yes,Yes,Maybe,2,1,L010,R009,Yes,Yes,Nidhi Menon,21/06/2024,Alex McLennan,08/08/2024,,coral,0.0000003244777936,,spatially balanced
EG-C07-074,-21.92675,114.4299717,2024-05-02T10:55:25+08:00,C07,Exmouth Gulf,Fished,1.6,Bri Beaulieu,Ryan Simms,,Yes,Yes,,3,1,L014,R013,Yes,Yes,Nidhi Menon,04/06/2024,Alex McLennan,05/08/2024,,coral,0.0000003244777936,,spatially balanced
EG-C07-073,-21.92668333,114.42717,2024-05-02T10:58:25+08:00,C07,Exmouth Gulf,Fished,4.6,Bri Beaulieu,Ryan Simms,,Yes,Yes,,2,1,L016,R015,Yes,Yes,Nidhi Menon,21/06/2024,Alex McLennan,08/08/2024,,coral,0.0000003244777936,,spatially balanced
EG-CPO-016,-21.91860825,114.4270054,2024-05-02T11:07:46+08:00,CPO,Exmouth Gulf,Fished,1.6,Alex McLennan,Ryan Simms,,Yes,Yes,,3,1,L018,R017,Yes,Yes,Nidhi Menon,15/07/2024,Ryan Simms,05/08/2024,"Captains pick, nuggets off Eva island ",,,TH,preferential (captains pick)
EG-C08-081,-21.95218167,114.413735,2024-05-02T12:24:21+08:00,C08,Exmouth Gulf,Fished,2.3,Bri Beaulieu,Ryan Simms,,Yes,Yes,,4,1,L002,R001,Yes,Yes,Nidhi Menon,05/06/2024,Alex McLennan,02/08/2024,,coral,0.0000003244777936,,spatially balanced
EG-C08-008,-21.95445167,114.4150767,2024-05-02T12:28:42+08:00,C08,Exmouth Gulf,Fished,1.1,Bri Beaulieu,Ryan Simms,,Yes,Yes,,5,1,L004,R003,Yes,Yes,Nidhi Menon,06/06/2024,Alex McLennan,02/08/2024,,coral,0.0000003244777936,,spatially balanced
EG-C08-078,-21.95680446,114.4136174,2024-05-02T12:31:34+08:00,C08,Exmouth Gulf,Fished,4.3,Bri Beaulieu,Ryan Simms,,Yes,Yes,,3,1,L008,R007,Yes,Yes,Nidhi Menon,06/06/2024,Alex McLennan,05/08/2024,,coral,0.0000003244777936,,spatially balanced
EG-C21-147,-21.9199,114.3544433,2024-05-02T12:34:36+08:00,C21,Exmouth Gulf,Fished,18.1,,,,No,No,,0,1,L028,R1201,,,,,,,,filter_feeders,0.00000002625901012,,spatially balanced
EG-C08-079,-21.95686639,114.4165088,2024-05-02T12:35:58+08:00,C08,Exmouth Gulf,Fished,1,Bri Beaulieu,Ryan Simms,,Yes,Yes,,6,1,L010,R009,Yes,Yes,Nidhi Menon,06/06/2024,Alex McLennan,01/08/2024,,coral,0.0000003244777936,,spatially balanced
EG-C21-146,-21.92794167,114.3489033,2024-05-02T12:39:31+08:00,C21,Exmouth Gulf,Fished,18.5,,,,No,No,,0,1,L026,R025,,,,,,,Bait gone on retreival,filter_feeders,0.00000002625901012,,spatially balanced
EG-C08-080,-21.95455409,114.4179623,2024-05-02T12:41:42+08:00,C08,Exmouth Gulf,Fished,0.5,Bri Beaulieu,Ryan Simms,,Yes,Yes,,2,1,L014,R013,Yes,Yes,Nidhi Menon,24/06/2024,Alex McLennan,08/08/2024,,coral,0.0000003244777936,,spatially balanced
EG-C21-145,-21.94437,114.3485183,2024-05-02T12:45:53+08:00,C21,Exmouth Gulf,Fished,18.2,,,,No,No,,0,1,L032,R031,,,,,,,Bait gone on retrieval,filter_feeders,0.00000002625901012,,spatially balanced
EG-C08-082,-21.95217393,114.416596,2024-05-02T12:48:01+08:00,C08,Exmouth Gulf,Fished,0.9,Bri Beaulieu,Ryan Simms,,Yes,Yes,,2.5,1,L016,R015,Yes,Yes,Nidhi Menon,07/06/2024,Alex McLennan,06/08/2024,,coral,0.0000003244777936,,spatially balanced
EG-C21-144,-21.95250667,114.3533033,2024-05-02T12:49:46+08:00,C21,Exmouth Gulf,Fished,17.5,,,,No,No,,0,1,L024,R023,,,,,,,Bait 99% gone,filter_feeders,0.00000002625901012,,spatially balanced
EG-C21-143,-21.96093333,114.35828,2024-05-02T12:54:04+08:00,C21,Exmouth Gulf,Fished,17.6,,,,No,No,,0,1,L022,R021,,,,,,,,filter_feeders,0.00000002625901012,,spatially balanced
EG-CPO-017,-21.94904416,114.4135212,2024-05-02T12:54:25+08:00,CPO,Exmouth Gulf,Fished,2.9,Alex McLennan,Ryan Simms,,Yes,Yes,,3.5,1,L018,R017,Yes,Yes,Nidhi Menon,16/07/2024,Ryan Simms,02/08/2024,"Captains pick, nuggets at Y island ",,,SG,preferential (captains pick)
EG-C21-021,-21.93647054,114.3741607,2024-05-02T13:06:02+08:00,C21,Exmouth Gulf,Fished,18.1,Bri Beaulieu,Ryan Simms,,Yes,Yes,Maybe,1.5,1,L006,R005,Yes,Yes,Nidhi Menon,08/07/2024,Alex McLennan,09/08/2024,,filter_feeders,0.00000002625901012,,spatially balanced
EG-C32-200,-21.96984941,114.5172797,2024-05-02T14:25:50+08:00,C32,Exmouth Gulf,Fished,5.1,Bri Beaulieu,Ryan Simms,,Yes,Yes,,1.5,1,L002,R001,Yes,Yes,Nidhi Menon,27/06/2024,Alex McLennan,09/08/2024,,vegetated,0.00000001853181681,,spatially balanced
