opcode,latitude_dd,longitude_dd,date_time,site,location,status,depth_m,observer_count,observer_length,juvenile_lethrinids,successful_count,successful_length,drop_lengths_due_to_vis,visibility_m,raw_hdd_number,left_camera,right_camera,forwards_habitat_image_saved,successful_habitat_forward,observer_habitat_forward,maxn_complete_date,maxn_checker,length_complete_date,comment,strata,inclusion_probability,priority,sampling_design
EG-C32-198,-21.9796279,114.5230875,2024-05-02T14:30:17+08:00,C32,Exmouth Gulf,Fished,2.7,Bri Beaulieu,Ryan Simms,,Yes,Yes,,2.5,1,L004,R003,Yes,Yes,Nidhi Menon,11/06/2024,Alex McLennan,06/08/2024,Left camera off on retrieval- full peroid both cams present ,vegetated,0.00000001853181681,,spatially balanced
EG-C32-199,-21.97980392,114.5351806,2024-05-02T14:35:14+08:00,C32,Exmouth Gulf,Fished,2,Bri Beaulieu,Ryan Simms,,Yes,Yes,,2.5,1,L008,R007,Yes,Yes,Nidhi Menon,09/06/2024,Alex McLennan,06/08/2024,,vegetated,0.00000001853181681,,spatially balanced
EG-C32-201,-21.9701641,114.5413733,2024-05-02T14:43:00+08:00,C32,Exmouth Gulf,Fished,2.6,Bri Beaulieu,Ryan Simms,,Yes,Yes,,2.5,1,L010,R009,Yes,Yes,Nidhi Menon,10/06/2024,Alex McLennan,07/08/2024,,vegetated,0.00000001853181681,,spatially balanced
EG-C10-091,-21.97705,114.33783,2024-05-02T14:48:41+08:00,C10,Exmouth Gulf,Fished,17.5,,,,No,No,,0,1,L006,R005,,,,,,,,filter_feeders,0.00000002625901012,,spatially balanced
EG-C32-032,-21.96994276,114.5292756,2024-05-02T14:50:15+08:00,C32,Exmouth Gulf,Fished,4.2,Bri Beaulieu,Ryan Simms,,Yes,Yes,,2,1,L014,R013,Yes,Yes,Nidhi Menon,25/06/2024,Alex McLennan,08/08/2024,,vegetated,0.00000001853181681,,spatially balanced
EG-C10-089,-21.98512667,114.3326217,2024-05-02T14:52:40+08:00,C10,Exmouth Gulf,Fished,18,,,,No,No,,0,1,L022,R021,,,,,,,Bait gone on retreival,filter_feeders,0.00000002625901012,,spatially balanced
EG-C32-202,-21.96026626,114.5354947,2024-05-02T14:55:11+08:00,C32,Exmouth Gulf,Fished,4.2,Bri Beaulieu,Ryan Simms,,Yes,Yes,,2,1,L016,R015,Yes,Yes,Nidhi Menon,26/06/2024,Alex McLennan,08/08/2024,,vegetated,0.00000001853181681,,spatially balanced
EG-C10-088,-21.98499789,114.3224767,2024-05-02T14:57:53+08:00,C10,Exmouth Gulf,Fished,18.4,,,,No,No,,0,1,L024,R023,,,,,,,Bait gone,filter_feeders,0.00000002625901012,,spatially balanced
EG-C10-090,-21.97672833,114.3174483,2024-05-02T15:02:37+08:00,C10,Exmouth Gulf,Fished,18.8,,,,No,No,,0,1,L032,R031,,,,,,,,filter_feeders,0.00000002625901012,,spatially balanced
EG-C10-092,-21.96880833,114.32264,2024-05-02T15:06:49+08:00,C10,Exmouth Gulf,Fished,18.9,,,,No,No,,0,1,L026,R025,,,,,,,,filter_feeders,0.00000002625901012,,spatially balanced
EG-C10-010,-21.97675667,114.3276,2024-05-02T15:11:18+08:00,C10,Exmouth Gulf,Fished,18.4,,,,No,No,,0,1,L028,R1201,,,,,,,,filter_feeders,0.00000002625901012,,spatially balanced
EG-CPO-018,-21.95729153,114.5213104,2024-05-02T15:13:02+08:00,CPO,Exmouth Gulf,Fished,2.1,Alex McLennan,Ryan Simms,,Yes,Yes,,2.5,1,L018,R017,Yes,Yes,Nidhi Menon,15/07/2024,Ryan Simms,07/08/2024,"Captains pick, Gnandaroo island, looks like on land with this map, is actually in a small rocky cove ",,,SG,preferential (captains pick)
EG-C33-203,-21.8831367,114.5971923,2024-05-03T08:00:18+08:00,C33,Exmouth Gulf,Fished,4.2,Ryan Simms,Daniel Agnello,,Yes,Yes,,2,2,L002,R001,Yes,Yes,Nidhi Menon,11/06/2024,Bri Beaulieu,12/08/2024,Bait bag removed by N.ferrugineus at ~22mins,vegetated,0.00000001853181681,,spatially balanced
EG-C33-204,-21.88327,114.6093117,2024-05-03T08:06:51+08:00,C33,Exmouth Gulf,Fished,5.8,Alex McLennan,Ryan Simms,,Yes,Yes,,1,2,L004,R003,Yes,Yes,Ryan Simms,19/08/2024,Ryan Simms,20/08/2024,"In the video the cameras are labeled incorrectly as L03 and R04, fixed before deployment. Changed estimated vis from 1.5m to 1.0m",vegetated,0.00000001853181681,,spatially balanced
EG-C33-206,-21.873615,114.6154917,2024-05-03T08:12:42+08:00,C33,Exmouth Gulf,Fished,5,Ryan Simms,Ryan Simms,,Yes,Yes,,2,2,L008,R007,Yes,Yes,Nidhi Menon,11/06/2024,Bri Beaulieu,14/08/2024,,vegetated,0.00000001853181681,,spatially balanced
EG-C33-207,-21.86367167,114.6095467,2024-05-03T08:21:27+08:00,C33,Exmouth Gulf,Fished,4.6,,,,No,No,,2,2,L010,R009,,,,,,,BRUV resting on left side for duration,vegetated,0.00000001853181681,,spatially balanced
EG-C28-182,-21.948345,114.3855467,2024-05-03T08:27:09+08:00,C28,Exmouth Gulf,Fished,16.2,,,,No,No,,0,2,L022,R021,,,,,,,,sand_sparse,0.000000004265529192,,spatially balanced
EG-C33-033,-21.87343667,114.60342,2024-05-03T08:29:11+08:00,C33,Exmouth Gulf,Fished,4,,,,No,No,,2,2,L014,R013,,,,,,,BRUV flipped on back and bobbing,vegetated,0.00000001853181681,,spatially balanced
EG-C28-181,-21.96868167,114.397485,2024-05-03T08:37:04+08:00,C28,Exmouth Gulf,Fished,15,,,,No,No,,0,2,L006,R005,,,,,,,,sand_sparse,0.000000004265529192,,spatially balanced
EG-C33-205,-21.87320833,114.5913183,2024-05-03T08:37:13+08:00,C33,Exmouth Gulf,Fished,6.7,Ryan Simms,Ryan Simms,,Yes,Yes,,2,2,L016,R015,Yes,Yes,Nidhi Menon,11/06/2024,Bri Beaulieu,15/08/2024,,vegetated,0.00000001853181681,,spatially balanced
EG-C28-180,-21.98936685,114.4098408,2024-05-03T08:47:03+08:00,C28,Exmouth Gulf,Fished,12.5,,,,No,No,,0,2,L032,R031,,,,,,,,sand_sparse,0.000000004265529192,,spatially balanced
EG-CPO-019,-21.86807333,114.599005,2024-05-03T08:47:03+08:00,CPO,Exmouth Gulf,Fished,3.6,Ryan Simms,Alex McLennan,,Yes,No,,6,2,L018,R017,Yes,Yes,Nidhi Menon,10/07/2024,Alex McLennan,,"Captains pick, north side of rocky island near a steep wall. Bad Cals - can tell camera is shaking around inside faceplate",,,SG,preferential (captains pick)
EG-C28-028,-21.98890833,114.3847583,2024-05-03T08:56:50+08:00,C28,Exmouth Gulf,Fished,14.9,,,,No,No,,0,2,L024,R023,,,,,,,,sand_sparse,0.000000004265529192,,spatially balanced
EG-C28-179,-22.00932667,114.39678,2024-05-03T09:07:18+08:00,C28,Exmouth Gulf,Fished,13.5,,,,No,No,,0,2,L028,R1201,,,,,,,,sand_sparse,0.000000004265529192,,spatially balanced
EG-C28-178,-22.00909167,114.3717633,2024-05-03T09:17:08+08:00,C28,Exmouth Gulf,Fished,14.8,,,,No,No,,0,2,L026,R025,,,,,,,,sand_sparse,0.000000004265529192,,spatially balanced
EG-C40-241,-21.90242,114.58489,2024-05-03T10:09:48+08:00,C40,Exmouth Gulf,Fished,4.9,Alex McLennan,Ryan Simms,,Yes,Yes,,1.5,2,L002,R001,Yes,Yes,Nidhi Menon,02/07/2024,Bri Beaulieu,31/07/2024,Potentially shovelnose and wedgey at approx 40min just as vis deteriorates,vegetated,0.00000001853181681,,spatially balanced
EG-C40-239,-21.91214,114.5786733,2024-05-03T10:16:44+08:00,C40,Exmouth Gulf,Fished,5.6,Alex McLennan,Ryan Simms,,Yes,Yes,,1.5,2,L004,R003,Yes,Yes,Nidhi Menon,04/07/2024,Bri Beaulieu,31/07/2024,Sharky vid,vegetated,0.00000001853181681,,spatially balanced
EG-C40-238,-21.91194833,114.5665217,2024-05-03T10:23:02+08:00,C40,Exmouth Gulf,Fished,3.6,Ryan Simms,Ryan Simms,,Yes,Yes,,2,2,L008,R007,Yes,Yes,Nidhi Menon,12/06/2024,Bri Beaulieu,15/08/2024,,vegetated,0.00000001853181681,,spatially balanced
EG-C40-040,-21.90224667,114.5727517,2024-05-03T10:30:11+08:00,C40,Exmouth Gulf,Fished,2.6,Ryan Simms,Alex McLennan,,Yes,Yes,Maybe,2,2,L010,R009,Yes,Yes,Nidhi Menon,12/06/2024,Alex McLennan,13/08/2024,,vegetated,0.00000001853181681,,spatially balanced
EG-C40-240,-21.90207333,114.5606817,2024-05-03T10:38:04+08:00,C40,Exmouth Gulf,Fished,2.3,Alex McLennan,Bri Beaulieu,Ryan Simms,Yes,Yes,,2.5,2,L014,R013,Yes,Yes,Nidhi Menon,05/06/2024,Bri Beaulieu,23/07/2024,,vegetated,0.00000001853181681,,spatially balanced
EG-C40-242,-21.89243667,114.5668033,2024-05-03T10:48:16+08:00,C40,Exmouth Gulf,Fished,1.6,Alex McLennan,Ryan Simms,,Yes,Yes,,1.5,2,L016,R015,Yes,Yes,Nidhi Menon,04/07/2024,Bri Beaulieu,31/07/2024,,vegetated,0.00000001853181681,,spatially balanced
EG-CPO-020,-21.887475,114.5608683,2024-05-03T10:57:48+08:00,CPO,Exmouth Gulf,Fished,1.2,Ryan Simms,Alex McLennan,,Yes,Yes,,3,2,L018,R017,Yes,Yes,Nidhi Menon,12/07/2024,Alex McLennan,13/08/2024,No clap for sync,,,TH,preferential (captains pick)
EG-C19-136,-22.099565,114.3203117,2024-05-03T11:32:53+08:00,C19,Exmouth Gulf,Fished,11.3,,,,No,No,,0,2,L026,R025,,,,,,,whiteboard says EG-019-136,filter_feeders,0.00000002625901012,,spatially balanced
EG-C19-137,-22.09990333,114.33025,2024-05-03T11:37:15+08:00,C19,Exmouth Gulf,Fished,11.4,,,,No,No,,0,2,L028,R1201,,,,,,,whiteboard says EG-019-137,filter_feeders,0.00000002625901012,,spatially balanced
EG-C19-135,-22.10794,114.3252483,2024-05-03T11:42:24+08:00,C19,Exmouth Gulf,Fished,10.6,,,,,,,1,2,L024,R023,,,,,,,whiteboard says EG-019-135,filter_feeders,0.00000002625901012,,spatially balanced
EG-C19-134,-22.115925,114.319815,2024-05-03T11:46:48+08:00,C19,Exmouth Gulf,Fished,11.2,Alex McLennan,Ryan Simms,,Yes,Yes,,1.5,2,L032,R031,Yes,Yes,Nidhi Menon,04/07/2024,Bri Beaulieu,01/08/2024,whiteboard says EG-019-134. Vis deteriorates at 35min before getting better again after 50min,filter_feeders,0.00000002625901012,,spatially balanced
EG-C19-133,-22.12417833,114.3147883,2024-05-03T11:50:57+08:00,C19,Exmouth Gulf,Fished,11.9,Alex McLennan,Ryan Simms,,Yes,Yes,,1.5,2,L006,R005,Yes,Yes,Nidhi Menon,09/07/2024,Bri Beaulieu,01/08/2024,whiteboard says EG-019-133,filter_feeders,0.00000002625901012,,spatially balanced
EG-C19-019,-22.11636667,114.3300083,2024-05-03T11:58:16+08:00,C19,Exmouth Gulf,Fished,10.8,Ryan Simms,Bri Beaulieu,,Yes,Yes,,2,2,L022,R021,Yes,Yes,Nidhi Menon,13/06/2024,Bri Beaulieu,26/07/2024,whiteboard says EG-019-019,filter_feeders,0.00000002625901012,,spatially balanced
EG-C11-097,-21.88969333,114.5169017,2024-05-03T13:01:37+08:00,C11,Exmouth Gulf,Fished,9.6,Ryan Simms,Bri Beaulieu,,Yes,Yes,,2,2,L002,R001,Yes,Yes,Nidhi Menon,13/06/2024,Bri Beaulieu,30/07/2024,,filter_feeders,0.00000002625901012,,spatially balanced
EG-C11-095,-21.91419167,114.5114083,2024-05-03T13:10:32+08:00,C11,Exmouth Gulf,Fished,8.9,Alex McLennan,Ryan Simms,,Yes,Yes,,2,2,L004,R003,Yes,Yes,Nidhi Menon,14/06/2024,Bri Beaulieu,30/07/2024,Accidentally picked up too early. 53 minute period.,filter_feeders,0.00000002625901012,,spatially balanced
EG-C11-011,-21.90592167,114.50649,2024-05-03T13:17:36+08:00,C11,Exmouth Gulf,Fished,10.1,Alex McLennan,Ryan Simms,,Yes,Yes,,2,2,L008,R007,Yes,Yes,Nidhi Menon,17/06/2024,Bri Beaulieu,30/07/2024,,filter_feeders,0.00000002625901012,,spatially balanced
EG-C11-096,-21.90576333,114.4963467,2024-05-03T13:23:17+08:00,C11,Exmouth Gulf,Fished,10.5,,,,No,No,,0,2,L010,R009,,,,,,,,filter_feeders,0.00000002625901012,,spatially balanced
EG-C11-094,-21.9139,114.4911317,2024-05-03T13:28:01+08:00,C11,Exmouth Gulf,Fished,10.6,,,,No,No,,0,2,L014,R013,,,,,,,,filter_feeders,0.00000002625901012,,spatially balanced
EG-C11-093,-21.92221,114.4959733,2024-05-03T13:34:27+08:00,C11,Exmouth Gulf,Fished,9.8,Ryan Simms,Alex McLennan,,Yes,Yes,Maybe,1.5,2,L016,R015,Yes,Yes,Nidhi Menon,05/07/2024,Alex McLennan,14/08/2024,Period only 59 minutes,filter_feeders,0.00000002625901012,,spatially balanced
EG-C09-086,-22.133835,114.4004917,2024-05-03T13:39:38+08:00,C09,Exmouth Gulf,Fished,7.9,,,,,No,,1.5,2,L022,R021,,,,,,,"Whiteboard says 096, bait gone. Cram temp warning. Left footage is missing",filter_feeders,0.00000002625901012,,spatially balanced
EG-CPO-021,-21.92728667,114.51473,2024-05-03T13:43:14+08:00,CPO,Exmouth Gulf,Fished,2.7,Alex McLennan,Ryan Simms,Ryan Simms,Yes,Yes,,5,2,L018,R017,Yes,Yes,Nidhi Menon,11/07/2024,Ryan Simms,01/08/2024,"Captains pick, shallow sandbar/weed bank",,,TH,preferential (captains pick)
EG-C09-087,-22.13398667,114.410905,2024-05-03T13:44:19+08:00,C09,Exmouth Gulf,Fished,7.5,,,,No,No,,0,2,L006,R005,,,,,,,whiteboard says EG-009-087,filter_feeders,0.00000002625901012,,spatially balanced
EG-C09-085,-22.142,114.405945,2024-05-03T13:48:23+08:00,C09,Exmouth Gulf,Fished,7,Ryan Simms,Alex McLennan,,Yes,Yes,Maybe,1.5,2,L032,R031,Yes,Yes,Nidhi Menon,05/07/2024,Alex McLennan,14/08/2024,whiteboard says EG-009-085,filter_feeders,0.00000002625901012,,spatially balanced
EG-C09-009,-22.150105,114.390525,2024-05-03T13:55:46+08:00,C09,Exmouth Gulf,Fished,6.1,Ryan Simms,Alex McLennan,,Yes,Yes,,1.5,2,L024,R023,Yes,Yes,Nidhi Menon,08/07/2024,Alex McLennan,14/08/2024,whiteboard says EG-009-009,filter_feeders,0.00000002625901012,,spatially balanced
EG-C09-083,-22.14995,114.3805283,2024-05-03T13:59:55+08:00,C09,Exmouth Gulf,Fished,6.9,Alex McLennan,Ryan Simms,,Yes,Yes,,2,2,L028,R1201,Yes,Yes,Nidhi Menon,24/06/2024,Bri Beaulieu,31/07/2024,No clap/chop,filter_feeders,0.00000002625901012,,spatially balanced
EG-C09-084,-22.14174833,114.3753867,2024-05-03T14:04:43+08:00,C09,Exmouth Gulf,Fished,7,Alex McLennan,Ryan Simms,,Yes,Yes,,2,2,L026,R025,Yes,Yes,Nidhi Menon,25/06/2024,Bri Beaulieu,31/07/2024,Visibility detriorates over course of period,filter_feeders,0.00000002625901012,,spatially balanced
EG-C39-236,-21.94005833,114.4875183,2024-05-03T15:01:34+08:00,C39,Exmouth Gulf,Fished,9.7,,,,,No,,1,2,L002,R001,,,,,,,,vegetated,0.00000001853181681,,spatially balanced
EG-C39-239,-21.93977167,114.4754983,2024-05-03T15:08:17+08:00,C39,Exmouth Gulf,Fished,10.8,,,,No,No,,0,2,L004,R003,,,,,,,Bait bag missing on retreival. In sampling plan as EG-C39-039 but vid matches data just be careful not to confuse with EG-C40-239 same day same cams.,vegetated,0.00000001853181681,,spatially balanced
EG-C39-237,-21.92994833,114.4695667,2024-05-03T15:14:12+08:00,C39,Exmouth Gulf,Fished,11.2,,,,No,No,,0,2,L008,R007,,,,,,,,vegetated,0.00000001853181681,,spatially balanced
EG-C39-235,-21.93964333,114.463375,2024-05-03T15:21:00+08:00,C39,Exmouth Gulf,Fished,12.1,Alex McLennan,Ryan Simms,,Yes,Yes,,1,2,L010,R009,Yes,Yes,Ryan Simms,19/08/2024,Ryan Simms,20/08/2024,Right camera off on retrieval. Changed vis from 1.5 to 1.0,vegetated,0.00000001853181681,,spatially balanced
EG-C39-233,-21.949495,114.469305,2024-05-03T15:26:41+08:00,C39,Exmouth Gulf,Fished,11.4,,,,No,No,,0,2,L014,R013,,,,,,,,vegetated,0.00000001853181681,,spatially balanced
EG-C39-234,-21.94967667,114.4813317,2024-05-03T15:31:57+08:00,C39,Exmouth Gulf,Fished,10.4,,,,No,No,,0,2,L016,R015,,,,,,,,vegetated,0.00000001853181681,,spatially balanced
EG-C34-212,-22.15301793,114.3877726,2024-05-03T15:33:02+08:00,C34,Exmouth Gulf,Fished,5.7,Alex McLennan,Ryan Simms,,Yes,Yes,,2,2,L026,R025,Yes,Yes,Nidhi Menon,25/06/2024,Bri Beaulieu,31/07/2024,Bait gone,vegetated,0.00000001853181681,,spatially balanced
EG-C34-034,-22.16323119,114.3931643,2024-05-03T15:39:52+08:00,C34,Exmouth Gulf,Fished,5.9,Alex McLennan,Ryan Simms,,Yes,Yes,,2,2,L028,R1201,Yes,Yes,Nidhi Menon,27/06/2024,Bri Beaulieu,31/07/2024,Update point on recovery,vegetated,0.00000001853181681,,spatially balanced
EG-C34-210,-22.162945,114.3810317,2024-05-03T15:44:48+08:00,C34,Exmouth Gulf,Fished,4.3,Alex McLennan,Bri Beaulieu,,Yes,Yes,,2.5,2,L024,R023,Yes,Yes,Nidhi Menon,05/06/2024,Bri Beaulieu,23/07/2024,,vegetated,0.00000001853181681,,spatially balanced
EG-CPO-022,-21.96232833,114.4930517,2024-05-03T15:46:45+08:00,CPO,Exmouth Gulf,Fished,2.5,Alex McLennan,Ryan Simms,,Yes,No,,2,2,L018,R017,Yes,Yes,Nidhi Menon,11/07/2024,,,"Captains pick, we drew a ravioli because we thought it was rivoli island but I think it might be sommerville, left camera off on retrieval - 58 min period. RMS errors on both pre- and post-cal ",,,TH,preferential (captains pick)
EG-C34-211C,-22.17436667,114.37686,2024-05-03T15:50:56+08:00,C34,Exmouth Gulf,Fished,3.5,,,,,,,2.5,2,L032,R031,,,,,,,EG-C34-C1 on whiteboard. Alternate captains choice for 211 which was too shallow,,,,spatially balanced - moved
EG-C34-208,-22.172675,114.386165,2024-05-03T15:55:52+08:00,C34,Exmouth Gulf,Fished,3.1,Alex McLennan,Bri Beaulieu,,Yes,Yes,,2.5,2,L006,R005,Yes,Yes,Nidhi Menon,05/06/2024,Bri Beaulieu,23/07/2024,G. cuvier eats bait bag 24 mins in,vegetated,0.00000001853181681,,spatially balanced
EG-C34-209C,-22.16777916,114.3745792,2024-05-03T16:06:21+08:00,C34,Exmouth Gulf,Fished,5.2,,,,,No,,2.5,2,L022,R021,,,,,,,"Captains choice, alternate to211 which was too shallow. Sunset ~5:57,  potentially remove from analysis. Bait gone. R21 off on retrieval. Left footage is missing.",,,,spatially balanced - moved
EG-C29-187,-22.23404167,114.3035117,2024-05-04T08:48:56+08:00,C29,Exmouth Gulf,Fished,9,Ryan Simms,Alex McLennan,,Yes,Yes,Maybe,1.5,2,L022,R021,Yes,Yes,Nidhi Menon,08/07/2024,Alex McLennan,15/08/2024,,sand_sparse,0.000000004265529192,,spatially balanced
EG-C29-186,-22.25222,114.3167,2024-05-04T09:00:37+08:00,C29,Exmouth Gulf,Fished,8.9,Ryan Simms,Alex McLennan,,Yes,Yes,,1.5,2,L006,R005,Yes,Yes,Nidhi Menon,09/07/2024,Alex McLennan,15/08/2024,New cam in R05 will need to be post cal from here on in,sand_sparse,0.000000004265529192,,spatially balanced
EG-C29-184,-22.27311427,114.328939,2024-05-04T09:10:40+08:00,C29,Exmouth Gulf,Fished,8.1,Alex McLennan,Bri Beaulieu,,Yes,Yes,,2.5,2,L032,R031,Yes,Yes,Nidhi Menon,06/06/2024,Bri Beaulieu,24/07/2024,Bag empty on retrieval,sand_sparse,0.000000004265529192,,spatially balanced
EG-C29-029,-22.27235667,114.303755,2024-05-04T09:21:23+08:00,C29,Exmouth Gulf,Fished,8,Alex McLennan,Bri Beaulieu,,Yes,Yes,,2.5,2,L028,R1201,Yes,Yes,Nidhi Menon,06/06/2024,Bri Beaulieu,24/07/2024,,sand_sparse,0.000000004265529192,,spatially balanced
EG-C29-183,-22.271955,114.2782583,2024-05-04T09:30:32+08:00,C29,Exmouth Gulf,Fished,12.7,Alex McLennan,Alex McLennan,,Yes,Yes,,2,2,L024,R023,Yes,Yes,Nidhi Menon,27/06/2024,Bri Beaulieu,16/08/2024,,sand_sparse,0.000000004265529192,,spatially balanced
EG-C29-185,-22.25135096,114.2914727,2024-05-04T09:41:18+08:00,C29,Exmouth Gulf,Fished,10.2,Ryan Simms,Alex McLennan,,Yes,Yes,,1.5,2,L026,R025,Yes,Yes,Nidhi Menon,09/07/2024,Alex McLennan,15/08/2024,,sand_sparse,0.000000004265529192,,spatially balanced
EG-C15-117,-22.29591293,114.2757302,2024-05-04T11:21:04+08:00,C15,Exmouth Gulf,Fished,9.2,Alex McLennan,Bri Beaulieu,,Yes,Yes,,2.5,2,L026,R025,Yes,Yes,Nidhi Menon,06/06/2024,Bri Beaulieu,25/07/2024,,filter_feeders,0.00000002625901012,,spatially balanced
EG-C15-015,-22.30406833,114.2808517,2024-05-04T11:27:46+08:00,C15,Exmouth Gulf,Fished,10,Alex McLennan,Bri Beaulieu,,Yes,Yes,,2,2,L024,R023,Yes,Yes,Nidhi Menon,28/06/2024,Bri Beaulieu,31/07/2024,knot blocking entire bait bag in left cam,filter_feeders,0.00000002625901012,,spatially balanced
EG-C15-116,-22.30413173,114.2910817,2024-05-04T11:40:47+08:00,C15,Exmouth Gulf,Fished,10.7,Alex McLennan,Bri Beaulieu,,Yes,Yes,,2,2,L006,R005,Yes,Yes,Nidhi Menon,28/06/2024,Bri Beaulieu,30/07/2024,Use post,filter_feeders,0.00000002625901012,,spatially balanced
EG-C15-114,-22.31235299,114.2861032,2024-05-04T11:47:51+08:00,C15,Exmouth Gulf,Fished,9.6,Alex McLennan,Ryan Simms,,Yes,Yes,,1.5,2,L032,R031,Yes,Yes,Nidhi Menon,09/07/2024,Bri Beaulieu,01/08/2024,Not exact spot,filter_feeders,0.00000002625901012,,spatially balanced
EG-C15-113,-22.31128315,114.2768443,2024-05-04T11:52:39+08:00,C15,Exmouth Gulf,Fished,9.6,Alex McLennan,Bri Beaulieu,,Yes,Yes,,2,2,L028,R1201,Yes,Yes,Nidhi Menon,01/07/2024,Bri Beaulieu,30/07/2024,,filter_feeders,0.00000002625901012,,spatially balanced
EG-C15-115,-22.30406576,114.2711129,2024-05-04T11:58:42+08:00,C15,Exmouth Gulf,Fished,9.2,,,,,No,,2,2,L022,R021,,,,,,,Not exact location. Footage missing for right cam,filter_feeders,0.00000002625901012,,spatially balanced
EG-C36-036,-22.08646199,114.4909981,2024-05-04T12:00:00+08:00,C36,Exmouth Gulf,Fished,,Alex McLennan,Bri Beaulieu,Ryan Simms,Yes,Yes,,2.5,2,L008,R007,Yes,Yes,Nidhi Menon,07/06/2024,Bri Beaulieu,26/07/2024,"iPad failure, lost coordinates, notes and depth. The latitude and longitude come from sampling plan",vegetated,0.00000001853181681,,spatially balanced
EG-C36-218,-22.10597385,114.490653,2024-05-04T11:39:00+08:00,C36,Exmouth Gulf,Fished,,Alex McLennan,Bri Beaulieu,,Yes,Yes,,4,2,L014,R013,Yes,Yes,Nidhi Menon,22/05/2024,Bri Beaulieu,25/07/2024,"iPad failure, lost coordinates, notes and depth. The latitude and longitude come from sampling plan. Time from video file",vegetated,0.00000001853181681,,spatially balanced
EG-C36-219,-22.09631066,114.4968697,2024-05-04T10:57:00+08:00,C36,Exmouth Gulf,Fished,,Alex McLennan,Bri Beaulieu,,Yes,Yes,,4,2,L010,R009,Yes,Yes,Nidhi Menon,22/05/2024,Bri Beaulieu,24/07/2024,"iPad failure, lost coordinates, notes and depth. The latitude and longitude come from sampling plan. Time from video file",vegetated,0.00000001853181681,,spatially balanced
EG-C36-220,-22.09649547,114.5089581,2024-05-04T12:00:00+08:00,C36,Exmouth Gulf,Fished,,Alex McLennan,,,Yes,No,,4,2,L016,R015,Yes,Yes,Nidhi Menon,23/05/2024,Bri Beaulieu,,"iPad failure, lost coordinates, notes and depth. The latitude and longitude come from sampling plan. Left camera turned off before deployment, MaxN in right",vegetated,0.00000001853181681,,spatially balanced
EG-C36-221,-22.08664715,114.5030856,2024-05-04T10:31:00+08:00,C36,Exmouth Gulf,Fished,,Alex McLennan,Bri Beaulieu,Ryan Simms,Yes,Yes,,3.5,2,L004,R003,Yes,Yes,Nidhi Menon,27/05/2024,Bri Beaulieu,24/07/2024,"iPad failure, lost coordinates, notes and depth. The latitude and longitude come from sampling plan. Time from video file",vegetated,0.00000001853181681,,spatially balanced
