opcode,latitude_dd,longitude_dd,date_time,site,location,status,depth_m,observer_count,observer_length,juvenile_lethrinids,successful_count,successful_length,drop_lengths_due_to_vis,visibility_m,raw_hdd_number,left_camera,right_camera,forwards_habitat_image_saved,successful_habitat_forward,observer_habitat_forward,maxn_complete_date,maxn_checker,length_complete_date,comment,strata,inclusion_probability,priority,sampling_design
EG-C36-222,-22.07698331,114.5093005,2024-05-04T10:31:00+08:00,C36,Exmouth Gulf,Fished,,Alex McLennan,Bri Beaulieu,Ryan Simms,Yes,Yes,,3.5,2,L002,R001,Yes,Yes,Nidhi Menon,27/05/2024,Bri Beaulieu,24/07/2024,"iPad failure, lost coordinates, notes and depth. The latitude and longitude come from sampling plan. Time from video file",vegetated,0.00000001853181681,,spatially balanced
EG-C38-038,-22.20239609,114.4163397,2024-05-04T12:00:00+08:00,C38,Exmouth Gulf,Fished,,Alex McLennan,Bri Beaulieu,Ryan Simms,Yes,Yes,,4,2,L008,R007,Yes,Yes,Nidhi Menon,24/05/2024,Bri Beaulieu,25/07/2024,"iPad failure, lost coordinates, notes and depth. The latitude and longitude come from sampling plan",vegetated,0.00000001853181681,,spatially balanced
EG-C38-228,-22.21205512,114.4101123,2024-05-04T14:26:00+08:00,C38,Exmouth Gulf,Fished,,Alex McLennan,,,Yes,No,,3,2,L014,R013,Yes,Yes,Nidhi Menon,30/05/2024,,,"iPad failure, lost coordinates, notes and depth. The latitude and longitude come from sampling plan. Time from video file. R Video files missing. Pulled 15 secs early",vegetated,0.00000001853181681,,spatially balanced
EG-C38-229,-22.21224729,114.4222098,2024-05-04T12:00:00+08:00,C38,Exmouth Gulf,Fished,,Alex McLennan,Bri Beaulieu,Ryan Simms,Yes,Yes,,3,2,L016,R015,Yes,Yes,Nidhi Menon,31/05/2024,Ryan Simms,25/07/2024,"iPad failure, lost coordinates, notes and depth. The latitude and longitude come from sampling plan",vegetated,0.00000001853181681,,spatially balanced
EG-C38-230,-22.20220356,114.4042432,2024-05-04T12:00:00+08:00,C38,Exmouth Gulf,Fished,,Alex McLennan,Bri Beaulieu,,Yes,Yes,,3,2,L010,R009,Yes,Yes,Nidhi Menon,04/06/2024,Bri Beaulieu,26/07/2024,"iPad failure, lost coordinates, notes and depth. The latitude and longitude come from sampling plan, whiteboard shows EG-C38-020",vegetated,0.00000001853181681,,spatially balanced
EG-C38-231,-22.20258772,114.4284364,2024-05-04T13:20:00+08:00,C38,Exmouth Gulf,Fished,,Alex McLennan,Bri Beaulieu,Ryan Simms,Yes,Yes,,3.5,2,L004,R003,Yes,Yes,Nidhi Menon,27/05/2024,Bri Beaulieu,26/07/2024,"iPad failure, lost coordinates, notes and depth. The latitude and longitude come from sampling plan. Time from video file",vegetated,0.00000001853181681,,spatially balanced
EG-C38-232,-22.19273672,114.4225662,2024-05-04T13:17:00+08:00,C38,Exmouth Gulf,Fished,,Alex McLennan,Bri Beaulieu,Ryan Simms,Yes,Yes,,3.5,2,L002,R001,Yes,Yes,Nidhi Menon,28/05/2024,Bri Beaulieu,26/07/2024,"iPad failure, lost coordinates, notes and depth. The latitude and longitude come from sampling plan. Time from video file",vegetated,0.00000001853181681,,spatially balanced
EG-C42-042,-22.27039233,114.3969334,2024-05-04T12:00:00+08:00,C42,Exmouth Gulf,Fished,,Alex McLennan,Bri Beaulieu,,Yes,Yes,,3.5,2,L008,R007,Yes,Yes,Nidhi Menon,28/05/2024,Bri Beaulieu,25/07/2024,"iPad failure, lost coordinates, notes and depth. The latitude and longitude come from sampling plan",vegetated,0.00000001853181681,,spatially balanced
EG-C42-248,-22.28005013,114.3907012,2024-05-04T12:00:00+08:00,C42,Exmouth Gulf,Fished,,,,,,No,,3,2,L016,R015,,,,,,,"iPad failure, lost coordinates, notes and depth. The latitude and longitude come from sampling plan. Right camera missing half",vegetated,0.00000001853181681,,spatially balanced
EG-C42-249,-22.28024431,114.4028043,2024-05-04T12:00:00+08:00,C42,Exmouth Gulf,Fished,,,,,,No,,2.5,2,L014,R013,,,,,,,"iPad failure, lost coordinates, notes and depth. The latitude and longitude come from sampling plan. Video files missing.",vegetated,0.00000001853181681,,spatially balanced
EG-C42-250,-22.2701978,114.3848312,2024-05-04T15:23:00+08:00,C42,Exmouth Gulf,Fished,,Alex McLennan,Bri Beaulieu,,Yes,Yes,,2.5,2,L004,R003,Yes,Yes,Nidhi Menon,07/06/2024,Bri Beaulieu,30/07/2024,"iPad failure, lost coordinates, notes and depth. The latitude and longitude come from sampling plan. Time from video file",vegetated,0.00000001853181681,,spatially balanced
EG-C42-251,-22.27058596,114.4090357,2024-05-04T15:37:00+08:00,C42,Exmouth Gulf,Fished,,Alex McLennan,Bri Beaulieu,Ryan Simms,Yes,Yes,,3,2,L010,R009,Yes,Yes,Nidhi Menon,04/06/2024,Bri Beaulieu,30/07/2024,"iPad failure, lost coordinates, notes and depth. The latitude and longitude come from sampling plan. Time from video file",vegetated,0.00000001853181681,,spatially balanced
EG-C42-252,-22.26054021,114.3910632,2024-05-04T15:22:00+08:00,C42,Exmouth Gulf,Fished,,Alex McLennan,Bri Beaulieu,,Yes,Yes,,3.5,2,L002,R001,Yes,Yes,Nidhi Menon,30/05/2024,Bri Beaulieu,29/07/2024,"iPad failure, lost coordinates, notes and depth. The latitude and longitude come from sampling plan. Time from video file. Bait bag taken by N. ferrugineus at 29m and spat ack up again just out of range of view",vegetated,0.00000001853181681,,spatially balanced
EG-C37-037,-21.9926,114.5027167,2024-05-04T08:25:00+08:00,C37,Exmouth Gulf,Fished,,,,,,,,3,2,L002,R001,,,,,,,"iPad failure, lost coordinates and notes. The depth, latitude and longitude come from the boats sounder. Time from video file",,,,spatially balanced - moved
EG-C37-223,-21.9954667,114.5030167,2024-05-04T12:00:00+08:00,C37,Exmouth Gulf,Fished,,,,,,,,3.5,2,L008,R007,,,,,,,"iPad failure, lost coordinates and notes. The depth, latitude and longitude come from the boats sounder",,,,spatially balanced - moved
EG-C37-224,-21.9980167,114.5014333,2024-05-04T08:24:00+08:00,C37,Exmouth Gulf,Fished,,,,,,,,3,2,L004,R003,,,,,,,"iPad failure, lost coordinates and notes. The depth, latitude and longitude come from the boats sounder. Time from video file",,,,spatially balanced - moved
EG-C37-225C,-22.0006833,114.5022167,2024-05-04T12:00:00+08:00,C37,Exmouth Gulf,Fished,,,,,,,,4,2,L016,R015,,,,,,,"iPad failure, lost coordinates and notes. The depth, latitude and longitude come from the boats sounder",,,,spatially balanced - moved
EG-C37-226,-22.0044,114.5026667,2024-05-04T08:39:00+08:00,C37,Exmouth Gulf,Fished,,,,,,,,3,2,L010,R009,,,,,,,"iPad failure, lost coordinates and notes. The depth, latitude and longitude come from the boats sounder. Time from video file",,,,spatially balanced - moved
EG-C37-227,-22.00555,114.4998167,2024-05-04T09:20:00+08:00,C37,Exmouth Gulf,Fished,,,,,,,,3.5,2,L014,R013,,,,,,,"iPad failure, lost coordinates and notes. The depth, latitude and longitude come from the boats sounder. Time from video file",,,,spatially balanced - moved
EG-CPO-023,-22.0077,114.49575,2024-05-04T08:45:00+08:00,CPO,Exmouth Gulf,Fished,,Ryan Simms,Alex McLennan,,Yes,No,,2.5,2,L018,R017,Yes,Yes,Nidhi Menon,12/07/2024,Alex McLennan,,"iPad failure, lost coordinates and notes. The depth, latitude and longitude come from the boats sounder. Time from video file. No clap for sync. CALs no good on account of loose Left cam but some measurements possible towards end of period",,,TH,preferential (captains pick)
EG-CPO-024,-22.2187167,114.42795,2024-05-04T11:16:00+08:00,CPO,Exmouth Gulf,Fished,,Alex McLennan,Ryan Simms,,Yes,No,,4,2,L018,R017,Yes,Yes,Nidhi Menon,12/07/2024,,,"iPad failure, lost coordinates and notes. The depth, latitude and longitude come from the boats sounder. Coordinates were incorrectly transcribed, have fixed in the labsheet. Time from video file. Both pre- and post- cal showing RMS errors. ",,,TH,preferential (captains pick)
EG-CPO-025,-22.0889,114.5166167,2024-05-04T13:54:00+08:00,CPO,Exmouth Gulf,Fished,,Alex McLennan,Ryan Simms,Yes,Yes,No,,3.5,2,L018,R017,Yes,Yes,Nidhi Menon,12/07/2024,,,"iPad failure, lost coordinates and notes. The depth, latitude and longitude come from the boats sounder. Coordinates were incorrectly transcribed, have fixed in the labsheet. Time from video file. Left cam ends early, MaxN in Right. Cannot length due to lack of left video files.",,,TH,preferential (captains pick)
EG-CPO-026,-22.2876833,114.3829333,2024-05-04T15:44:00+08:00,CPO,Exmouth Gulf,Fished,,Ryan Simms,Alex McLennan,,Yes,No,,4.5,2,L018,R017,Yes,Yes,Nidhi Menon,11/07/2024,Alex McLennan,,"iPad failure, lost coordinates and notes. The depth, latitude and longitude come from the boats sounder. Time from video file. CALs no good on account of loose Left cam ",,,SG,preferential (captains pick)
EG-C27-027,-22.31172,114.227495,2024-05-04T13:36:06+08:00,C27,Exmouth Gulf,Fished,9.6,Ryan Simms,Alex McLennan,,Yes,Yes,,1.5,2,L022,R021,Yes,Yes,Nidhi Menon,09/07/2024,Alex McLennan,15/08/2024,"Filmed wrong opcode (EG-C27-176), didn't record a note in the field",sand_sparse,0.000000004265529192,,spatially balanced
EG-C27-173,-22.29067,114.1896383,2024-05-04T13:50:12+08:00,C27,Exmouth Gulf,Fished,8.4,Alex McLennan,Ryan Simms,,Yes,Yes,,1,2,L028,R1201,Yes,Yes,Ryan Simms,20/08/2024,Ryan Simms,20/08/2024,Changed vis from 1.5 to 1.0,sand_sparse,0.000000004265529192,,spatially balanced
EG-C27-174,-22.29118833,114.214955,2024-05-04T13:59:18+08:00,C27,Exmouth Gulf,Fished,9.4,Alex McLennan,Ryan Simms,,Yes,Yes,,1.5,2,L032,R031,Yes,Yes,Nidhi Menon,10/07/2024,Bri Beaulieu,01/08/2024,,sand_sparse,0.000000004265529192,,spatially balanced
EG-C27-175,-22.29162667,114.2402783,2024-05-04T14:08:19+08:00,C27,Exmouth Gulf,Fished,9.9,Ryan Simms,Alex McLennan,,Yes,Yes,Maybe,1.5,2,L006,R005,Yes,Yes,Nidhi Menon,09/07/2024,Alex McLennan,15/08/2024,Got cam numbers around the wrong way,sand_sparse,0.000000004265529192,,spatially balanced
EG-C27-176,-22.29184833,114.265415,2024-05-04T14:17:27+08:00,C27,Exmouth Gulf,Fished,9.8,Alex McLennan,Bri Beaulieu,,Yes,Yes,,2,2,L024,R023,Yes,Yes,Nidhi Menon,01/07/2024,Bri Beaulieu,30/07/2024,,sand_sparse,0.000000004265529192,,spatially balanced
EG-C27-177,-22.27096167,114.227825,2024-05-04T14:32:35+08:00,C27,Exmouth Gulf,Fished,9.8,Ryan Simms,Alex McLennan,,Yes,Yes,,1.5,2,L026,R025,Yes,Yes,Nidhi Menon,11/07/2024,Alex McLennan,16/08/2024,Rope in view of left cam. Annotated right video. No clap for sync point,sand_sparse,0.000000004265529192,,spatially balanced
EG-C04-058,-21.9595263,114.1664193,2024-05-05T08:31:56+08:00,C04,Exmouth Gulf,Fished,16,Ryan Simms,Alex McLennan,,Yes,Yes,,1.5,3,L002,R001,Yes,Yes,Nidhi Menon,25/06/2024,Alex McLennan,09/08/2024,Not exact spot nor depth,coral,0.0000003244777936,,spatially balanced
EG-C04-060,-21.95731293,114.1595369,2024-05-05T08:35:06+08:00,C04,Exmouth Gulf,Fished,14.9,Daniel Agnello,Alex McLennan,,Yes,Yes,,2,3,L004,R003,Yes,Yes,Nidhi Menon,05/06/2024,Alex McLennan,29/07/2024,strata is sandy,coral,0.0000003244777936,,spatially balanced
EG-C04-059,-21.95698667,114.1451517,2024-05-05T08:44:44+08:00,C04,Exmouth Gulf,Fished,3.8,Ryan Simms,Alex McLennan,,Yes,Yes,,1.5,3,L008,R007,Yes,Yes,Nidhi Menon,25/06/2024,Alex McLennan,09/08/2024,,coral,0.0000003244777936,,spatially balanced
EG-C04-061,-21.95468,114.1466483,2024-05-05T08:48:43+08:00,C04,Exmouth Gulf,Fished,4.2,,,,No,No,,2,3,L010,R009,,,,,,,Bruv lands pointing up towards surface for the whole video,coral,0.0000003244777936,,spatially balanced
EG-C04-062,-21.952265,114.1451833,2024-05-05T08:52:20+08:00,C04,Exmouth Gulf,Fished,3.9,Ryan Simms,Alex McLennan,,Yes,Yes,,2.5,3,L014,R013,Yes,Yes,Nidhi Menon,31/05/2024,Alex McLennan,23/07/2024,,coral,0.0000003244777936,,spatially balanced
EG-CPO-027,-21.92443333,114.1426283,2024-05-05T09:08:08+08:00,CPO,Exmouth Gulf,Fished,3.5,Ryan Simms,Alex McLennan,,Yes,Yes,,3,3,L016,R015,Yes,Yes,Nidhi Menon,12/07/2024,Alex McLennan,23/07/2024,,,,,preferential (captains pick)
EG-CPO-028-A,-21.91968333,114.14262,2024-05-05T09:13:09+08:00,CPO,Exmouth Gulf,Fished,2.5,Ryan Simms,Alex McLennan,,Yes,No,,2.5,3,L018,R017,Yes,Yes,Nidhi Menon,15/07/2024,,,Cals don't work. Cam must have been crooked,,,,preferential (captains pick)
EG-C16-118,-21.95809,114.1860467,2024-05-05T09:59:39+08:00,C16,Exmouth Gulf,Fished,18.5,Daniel Agnello,Alex McLennan,,Yes,Yes,,2,3,L006,R005,Yes,Yes,Nidhi Menon,11/06/2024,Alex McLennan,29/07/2024,Bait bag empty on retrieval,filter_feeders,0.00000002625901012,,spatially balanced
EG-C16-120,-21.94948436,114.1805825,2024-05-05T10:03:51+08:00,C16,Exmouth Gulf,Fished,18,Ryan Simms,Alex McLennan,,Yes,Yes,,2.5,3,L026,R025,Yes,Yes,Nidhi Menon,31/05/2024,Alex McLennan,24/07/2024,Bait bag empty on retrieval,filter_feeders,0.00000002625901012,,spatially balanced
EG-C16-122,-21.94181812,114.1861949,2024-05-05T10:07:56+08:00,C16,Exmouth Gulf,Fished,18.6,Daniel Agnello,Alex McLennan,,Yes,Yes,,2,3,L024,R023,Yes,Yes,Nidhi Menon,11/06/2024,Alex McLennan,29/07/2024,Bait 80% gone on retrieval,filter_feeders,0.00000002625901012,,spatially balanced
EG-C16-016,-21.94979264,114.1911707,2024-05-05T10:12:29+08:00,C16,Exmouth Gulf,Fished,19,Alex McLennan,Ryan Simms,,Yes,Yes,,2,3,L032,R031,Yes,Yes,Nidhi Menon,13/06/2024,Bri Beaulieu,09/08/2024,Bait gone on retrieval ,filter_feeders,0.00000002625901012,,spatially balanced
EG-C16-121,-21.95007715,114.2013524,2024-05-05T10:16:17+08:00,C16,Exmouth Gulf,Fished,19.7,Ryan Simms,Alex McLennan,,Yes,Yes,,2.5,3,L028,R1201,Yes,Yes,Nidhi Menon,30/05/2024,Alex McLennan,24/07/2024,Bait gone on retrieval,filter_feeders,0.00000002625901012,,spatially balanced
EG-C16-119,-21.95813,114.1962886,2024-05-05T10:20:43+08:00,C16,Exmouth Gulf,Fished,19,Ryan Simms,Alex McLennan,,Yes,Yes,,2.5,3,L022,R021,Yes,Yes,Nidhi Menon,30/05/2024,Alex McLennan,25/07/2024,,filter_feeders,0.00000002625901012,,spatially balanced
EG-C01-043,-21.93174199,114.1702639,2024-05-05T10:31:51+08:00,C01,Exmouth Gulf,Fished,15.6,Daniel Agnello,Alex McLennan,,Yes,Yes,,2,3,L002,R001,Yes,Yes,Nidhi Menon,11/06/2024,Alex McLennan,29/07/2024,,coral,0.0000003244777936,,spatially balanced
EG-C01-044,-21.93157,114.17314,2024-05-05T10:40:23+08:00,C01,Exmouth Gulf,Fished,16.2,Ryan Simms,Alex McLennan,,Yes,Yes,,2,3,L018,R017,Yes,Yes,Nidhi Menon,13/06/2024,Bri Beaulieu,30/07/2024,,coral,0.0000003244777936,,spatially balanced
EG-C01-045,-21.92951095,114.1745469,2024-05-05T10:43:03+08:00,C01,Exmouth Gulf,Fished,17,Ryan Simms,Alex McLennan,,Yes,Yes,,2,3,L004,R003,Yes,Yes,Nidhi Menon,20/06/2024,Bri Beaulieu,30/07/2024,,coral,0.0000003244777936,,spatially balanced
EG-C01-001,-21.92943474,114.1716957,2024-05-05T10:47:01+08:00,C01,Exmouth Gulf,Fished,16.3,Ryan Simms,Alex McLennan,,Yes,Yes,,2.5,3,L008,R007,Yes,Yes,Nidhi Menon,30/05/2024,Alex McLennan,25/07/2024,,coral,0.0000003244777936,,spatially balanced
EG-C01-047,-21.92709333,114.1733317,2024-05-05T10:48:46+08:00,C01,Exmouth Gulf,Fished,16.4,Ryan Simms,Alex McLennan,,Yes,Yes,,2,3,L010,R009,Yes,Yes,Nidhi Menon,21/06/2024,Bri Beaulieu,30/07/2024,,coral,0.0000003244777936,,spatially balanced
EG-C01-046,-21.92699835,114.1703651,2024-05-05T10:52:38+08:00,C01,Exmouth Gulf,Fished,15.6,Ryan Simms,Alex McLennan,,Yes,Yes,,2,3,L016,R015,Yes,Yes,Nidhi Menon,21/06/2024,Bri Beaulieu,30/07/2024,,coral,0.0000003244777936,,spatially balanced
EG-CPO-028-B,-21.91492167,114.1875167,2024-05-05T11:08:00+08:00,CPO,Exmouth Gulf,Fished,14.5,Ryan Simms,Alex McLennan,,Yes,Yes,,2.5,3,L014,R013,Yes,Yes,Nidhi Menon,05/07/2024,Alex McLennan,26/07/2024,King reef. 19m to 15m then 19 again,,,SG,preferential (captains pick)
EG-C17-124,-21.9426127,114.2368053,2024-05-05T12:13:09+08:00,C17,Exmouth Gulf,Fished,21.5,,,,No,No,,0,3,L028,R1201,,,,,,,Bait gone,filter_feeders,0.00000002625901012,,spatially balanced
EG-C17-126,-21.93462233,114.2421056,2024-05-05T12:16:36+08:00,C17,Exmouth Gulf,Fished,19.5,,,,No,No,,0,3,L022,R021,,,,,,,Wrong opcode shown on left camera (124). Bait gone,filter_feeders,0.00000002625901012,,spatially balanced
EG-C17-017,-21.93425622,114.2323245,2024-05-05T12:20:46+08:00,C17,Exmouth Gulf,Fished,18.6,Ryan Simms,Alex McLennan,,Yes,Yes,,2,3,L032,R031,Yes,Yes,Nidhi Menon,21/06/2024,Bri Beaulieu,31/07/2024,Bait gone on retrieval,filter_feeders,0.00000002625901012,,spatially balanced
EG-C17-127,-21.92614576,114.2271965,2024-05-05T12:24:42+08:00,C17,Exmouth Gulf,Fished,19.6,Ryan Simms,Alex McLennan,,Yes,Yes,,2,3,L024,R023,Yes,Yes,Nidhi Menon,25/06/2024,Alex McLennan,31/07/2024,No bait on retrieval. No clap for sync point,filter_feeders,0.00000002625901012,,spatially balanced
EG-C17-125,-21.93420934,114.2219087,2024-05-05T12:28:42+08:00,C17,Exmouth Gulf,Fished,19.6,Ryan Simms,Alex McLennan,,Yes,Yes,,1.5,3,L026,R025,Yes,Yes,Nidhi Menon,27/06/2024,Alex McLennan,09/08/2024,Bait gone on retrieval,filter_feeders,0.00000002625901012,,spatially balanced
EG-C17-123,-21.94225049,114.2267641,2024-05-05T12:32:31+08:00,C17,Exmouth Gulf,Fished,19.8,,,,,,,1,3,L006,R005,,,,,,,Bait gone on retrieval. Visability too poor for habitat and lengths,filter_feeders,0.00000002625901012,,spatially balanced
EG-C20-142,-22.03104833,114.13885,2024-05-05T12:54:05+08:00,C20,Exmouth Gulf,Fished,12.3,Ryan Simms,Alex McLennan,,Yes,Yes,,1.5,3,L008,R007,Yes,Yes,Nidhi Menon,27/06/2024,Alex McLennan,09/08/2024,,filter_feeders,0.00000002625901012,,spatially balanced
EG-C20-141,-22.0306848,114.1286775,2024-05-05T12:59:33+08:00,C20,Exmouth Gulf,Fished,8.8,Ryan Simms,Alex McLennan,,Yes,Yes,,2,3,L004,R003,Yes,Yes,Nidhi Menon,19/06/2024,Bri Beaulieu,31/07/2024,,filter_feeders,0.00000002625901012,,spatially balanced
EG-C20-140,-22.038845,114.1234517,2024-05-05T13:03:58+08:00,C20,Exmouth Gulf,Fished,7.5,Ryan Simms,Alex McLennan,,Yes,Yes,,2.5,3,L018,R017,Yes,Yes,Nidhi Menon,23/05/2024,Bri Beaulieu,25/07/2024,"Right camera showed L19 on whiteboard, left camera showed L18, please recapture habitat image",filter_feeders,0.00000002625901012,,spatially balanced
EG-C20-020,-22.03909475,114.1336046,2024-05-05T13:08:03+08:00,C20,Exmouth Gulf,Fished,10.5,Ryan Simms,Ryan Simms,,Yes,Yes,,1.5,3,L002,R001,Yes,Yes,Nidhi Menon,27/06/2024,Alex McLennan,12/08/2024,,filter_feeders,0.00000002625901012,,spatially balanced
EG-C20-138,-22.04724667,114.12838,2024-05-05T13:11:42+08:00,C20,Exmouth Gulf,Fished,10.7,Ryan Simms,Alex McLennan,,Yes,Yes,,2,3,L014,R013,Yes,Yes,Nidhi Menon,19/06/2024,Bri Beaulieu,31/07/2024,,filter_feeders,0.00000002625901012,,spatially balanced
EG-C20-139,-22.047665,114.1486683,2024-05-05T13:17:39+08:00,C20,Exmouth Gulf,Fished,15,Ryan Simms,Ryan Simms,,Yes,Yes,,1.5,3,L016,R015,Yes,Yes,Nidhi Menon,28/06/2024,Alex McLennan,13/08/2024,,filter_feeders,0.00000002625901012,,spatially balanced
EG-CPO-029,-22.08163282,114.1129916,2024-05-05T13:39:26+08:00,CPO,Exmouth Gulf,Fished,5.1,Ryan Simms,Alex McLennan,,Yes,Yes,,2.5,3,L010,R009,Yes,Yes,Nidhi Menon,15/07/2024,Alex McLennan,26/07/2024,Nielsys pick “Sharp Edge”,,,SG,preferential (captains pick)
EG-C13-107,-21.94274667,114.2470867,2024-05-05T14:13:27+08:00,C13,Exmouth Gulf,Fished,19.6,,,,No,No,,0,3,L006,R005,,,,,,,Bait gone on retrieval,filter_feeders,0.00000002625901012,,spatially balanced
EG-C13-105,-21.95071833,114.2420067,2024-05-05T14:18:01+08:00,C13,Exmouth Gulf,Fished,18.8,,,,No,No,,0,3,L026,R025,,,,,,,"Videos have incorrect op code (107), bat 98% gone on retrieval",filter_feeders,0.00000002625901012,,spatially balanced
EG-C13-013,-21.95102333,114.2518783,2024-05-05T14:21:40+08:00,C13,Exmouth Gulf,Fished,19.2,,,,No,No,,0,3,L024,R023,,,,,,,Bait 90% gone on retrieval ,filter_feeders,0.00000002625901012,,spatially balanced
EG-C13-106,-21.95115667,114.26205,2024-05-05T14:25:53+08:00,C13,Exmouth Gulf,Fished,19.2,,,,No,No,,0,3,L032,R031,,,,,,,Bait 90% gone on retrieval,filter_feeders,0.00000002625901012,,spatially balanced
EG-C13-104,-21.95894167,114.2572117,2024-05-05T14:29:57+08:00,C13,Exmouth Gulf,Fished,19,,,,No,No,,0,3,L022,R021,,,,,,,Bait 90% gone on retrieval ,filter_feeders,0.00000002625901012,,spatially balanced
EG-C13-103,-21.95908,114.2469283,2024-05-05T14:34:19+08:00,C13,Exmouth Gulf,Fished,18.8,,,,No,No,,0,3,L028,R1201,,,,,,,Bait 70% gone,filter_feeders,0.00000002625901012,,spatially balanced
EG-C22-151,-22.12885167,114.1063467,2024-05-05T15:09:55+08:00,C22,Exmouth Gulf,Fished,9.2,,,,No,No,,0,3,L002,R001,,,,,,,,filter_feeders,0.00000002625901012,,spatially balanced
EG-C22-149,-22.13692,114.101095,2024-05-05T15:13:35+08:00,C22,Exmouth Gulf,Fished,7.5,Ryan Simms,Ryan Simms,,Yes,Yes,Maybe,1.5,3,L018,R017,Yes,Yes,Nidhi Menon,28/06/2024,Alex McLennan,13/08/2024,Consistent RMS errors,filter_feeders,0.00000002625901012,,spatially balanced
EG-C22-022,-22.13713,114.1112467,2024-05-05T15:17:34+08:00,C22,Exmouth Gulf,Fished,11.1,,,,No,No,,0,3,L004,R003,,,,,,,,filter_feeders,0.00000002625901012,,spatially balanced
EG-C22-152,-22.12898833,114.1165717,2024-05-05T15:21:17+08:00,C22,Exmouth Gulf,Fished,11.5,,,,No,No,,0,3,L008,R007,,,,,,,,filter_feeders,0.00000002625901012,,spatially balanced
EG-C22-150,-22.13729833,114.1214383,2024-05-05T15:24:53+08:00,C22,Exmouth Gulf,Fished,13.2,,,,,,,1,3,L010,R009,,,,,,,,filter_feeders,0.00000002625901012,,spatially balanced
EG-C22-148,-22.14537,114.116175,2024-05-05T15:28:27+08:00,C22,Exmouth Gulf,Fished,11.8,,,,No,No,,0,3,L016,R015,,,,,,,,filter_feeders,0.00000002625901012,,spatially balanced
