Sample,Sampleold,Longitude,Latitude,Date,Time,Site,Location,Status,Depth,Observer,Successful.count,Successful.length,Type,Left.cam,Right.cam,Video.notes,Raw.hdd.number,Con.hdd.number,FishNClip,Habitat.forwards.image.saved,Habitat.forwards.annotated,Habitat.backwards.image.saved,Habitat.backwards.annotated,Habitat.notes,Vis.in.metres,Habitat.classification ,Maxn.analyst,Maxn.complete.yyyymmdd,Maxn.checker,Length.analyst,Length.complete.date.yyyymmdd,Notes
npz6.24,24,113.4414,-28.0787,20210512,09:07,npz6.27,NPZ6,No-take,53.7,Molly,Y,Y,MBH,27,28,eDNA sample,RAW1,,Yes,Yes,Yes,Yes,Yes,,,,Molly,20220113,Claude,Molly,Target spp only (ALL IN PROCESS),"all videos chromis spp = sahluenis, dumerilli vs hippos"
npz6.14,14,113.4213,-28.0937,20210512,08:56,npz6.14,NPZ6,No-take,42.1,Molly,Y,Y,MBH,29,30,,RAW1,,Yes,Yes,Yes,Yes,Yes,,,,Molly,20211124,Claude,Molly,Target spp only,wrasse sp1
npz6.6,6,113.4439,-28.0837,20210512,09:04,npz6.6,NPZ6,No-take,55.1,Molly,Y,Y,MBH,31,32,Not much bait left,RAW1,,Yes,Yes,Yes,Missing,No,,,,Molly,20211116,Claude,Molly,Target spp only,
npz6.2,2,113.4339,-28.0612,20210512,09:26,npz6.2,NPZ6,No-take,43.6,Molly,Y,Y,MBH,33,34,"34 was off, battery dead",RAW1,,Yes,Yes,Yes,Yes,Yes,,,,Molly,20210820,Claude,Molly,Target spp only,unknown
npz6.18,18,113.4438,-28.0962,20210512,08:48,npz6.19,NPZ6,No-take,42.7,Molly,Y,Y,MBH,35,36,Lights on,RAW1,,Yes,Yes,Yes,Yes,Yes,,,,Molly,20211124,Claude,Molly,Target spp only,
npz6.22,22,113.4512,-28.0687,20210512,09:16,npz6.23,NPZ6,No-take,45,Molly,Y,Y,MBH,37,38,,RAW1,,Yes,Yes,Yes,Yes,Yes,,,,Molly,20211203,Claude,Molly,Target spp only," CAL is super off, come back and check/remeasure ~ unknown "
npz6.20,20,113.4593,-28.0736,20210512,09:13,npz6.21,NPZ6,No-take,50.4,Molly,Y,Y,MBH,39,40,,RAW1,,Yes,Yes,Yes,Yes,Yes,,,,Molly,20211201,Claude,Molly,Target spp only,
npz6.26,26,113.4563,-28.0937,20210512,08:43,npz6.29,NPZ6,No-take,33.7,Molly,Y,Y,MBH,41,42,Lights not on,RAW1,,Yes,Yes,Yes,Yes,Yes,,,,Molly,20220113,Claude,Molly,Target spp only,check monocath
npz6.27,27,113.4464,-28.0562,20210512,09:21,npz6.30,NPZ6,No-take,39,Molly,Y,Y,MBH,43,44,Not much bait left,RAW1,,Yes,Yes,Yes,Yes,Yes,,,,Molly,20211215,Claude,Molly,Target spp only,labridae
npz6.8,8,113.3413,-28.0688,20210512,11:45,npz6.8,NPZ6,No-take,154,Molly,Y,Y,MBH,33,34,"wrong number filmed then re-filmed ,eDNA sample, 044 off, pulled under",RAW1,,Yes,Yes,Yes,Yes,Yes,,,,Molly,20211116,Claude,Molly,Target spp only,
npz6.15,15,113.3488,-28.0588,20210512,11:41,npz6.15,NPZ6,No-take,145,Molly,Y,Y,MBH,43,44,"wrong number filmed then re-filmed, BRUV tipped over",RAW1,,Yes,Yes,Yes,Yes,Yes,,,,Molly,20211124,Claude,Claude,20220121,todd - mustelus
npz6.9,9,113.3814,-28.0386,20210512,11:28,npz6.9,NPZ6,No-take,77.2,Molly,Y,Y,MBH,37,38,wrong number filmed then re-filmed,RAW1,,Yes,Yes,Yes,Yes,Yes,,,,Molly,20211116,Claude,Claude,20220121,
npz6.13,13,113.3714,-28.0611,20210512,11:19,npz6.13,NPZ6,No-take,109,Molly,Y,Y,MBH,39,40,wrong number filmed then re-filmed,RAW1,,Yes,Yes,Yes,Yes,Yes,,,,Molly,20211116,Claude,Molly,Target spp only,
npz6.10,10,113.3764,-28.0787,20210512,11:07,npz6.10,NPZ6,No-take,112,Molly,Y,Y,MBH,27,28,wrong number filmed then re-filmed,RAW1,,Yes,Yes,Yes,Yes,Yes,,,,Molly,20211116,Claude,Molly,Target spp only,
npz6.17,17,113.3839,-28.0837,20210512,11:03,npz6.18,NPZ6,No-take,94,Molly,Y,Y,MBH,31,32,wrong number filmed then re-filmed,RAW1,,Yes,Yes,Yes,Missing,No,,,,Molly,20211124,Claude,Molly,Target spp only,unknown
npz6.4,4,113.3988,-28.0814,20210512,10:57,npz6.4,NPZ6,No-take,67.5, Molly,Y,Y,MBH,29,30,"wrong number filmed then re-filmed, bait gone",RAW1,,Yes,Yes,Yes,Yes,Yes,rock w turf mat - but not turfing algae,,,Molly,20210922,Claude,Molly,20220120,shark
npz6.21,21,113.3992,-28.0714,20210512,10:54,npz6.22,NPZ6,No-take,59.3,Molly,Y,Y,MBH,35,36,"wrong number filmed then re-filmed, bait gone",RAW1,,Yes,Yes,Yes,Yes,Yes,,,,Molly,20211201,Claude,Molly,Target spp only,unknown
npz6.5,5,113.3935,-28.0636,20210512,10:50,npz6.5,NPZ6,No-take,65.8,Molly,Y,Y,MBH,41,42,"wrong number filmed then re-filmed, bait bag gone",RAW1,,Yes,Yes,Yes,Yes,Yes,,,,Molly,20210929,Claude,Molly,Target spp only,stheojulis
npz6.12,12,113.2763,-28.0512,20210512,13:48,npz6.12,NPZ6,No-take,185,-,N,N,MBH,27,28,Failed deployment,RAW1,,Yes,Yes,Yes,Yes,Yes,,,,Molly,N/A,N/A,N/A,N/A,"pulls up early, dont analyse"
npz6.C01,C01,113.3706,-28.1078,20210512,14:39,,NPZ6,Fished,138,Molly,Y,Y,,39,40,Filmed wrong number again,RAW1,,Yes,Yes,Yes,Yes,Yes,,,,Molly,20211210,Claude,Molly,20220120,
npz6.28,28,113.3663,-28.1237,20210512,14:45,out6.1,NPZ6,Fished,149,Molly,Y,Y,MBH,37,38,Filmed wrong number again,RAW1,,Yes,Yes,Yes,Yes,Yes,somehow points missed all stuff growing on sand,,,Molly,20211201,Claude,Molly,Target spp only,unknown
npz6.C02,C02,113.385,-28.118,20210512,14:52,,NPZ6,Fished,125,Molly,Y,Y,,43,44,Filmed wrong number again,RAW1,,Yes,Yes,Yes,Yes,Yes,,,,Molly,20211210,Claude,Molly,20220120,
npz6.BOSS41,BOSS41,113.3939,-28.1137,20210512,14:57,,NPZ6,Fished,104,Molly,Y,Y,,33,34,"Filmed wrong number again , BOSS mark, time out is an estimate",RAW1,,Yes,Yes,Yes,Yes,Yes,,,,Molly,20211210,Claude,Molly,Target spp only,unknowns
npz6.36,36,113.4089,-28.1062,20210512,15:02,out6.9,NPZ6,Fished,66.5,Molly,Y,Y,MBH,27,28,,RAW1,,Yes,Yes,Yes,Yes,Yes,tipped on side,,,Molly,20211215,Claude,Molly,Target spp only," parapercis, labridae"
npz9.7,7,113.1964,-27.1162,20210515,08:37,npz9.7,NPZ9,No-take,97.2,Molly,Y,Y,MBH,27,28,,RAW2,,Yes,Yes,Yes,Yes,Yes,,,,Molly,20210706,Claude,Molly,20220120,shark
npz9.29,29,113.2089,-27.1313,20210515,08:27,npz9.29,NPZ9,No-take,96.7,Molly,Y,Y,MBH,29,30,Empty bait bag,RAW2,,Yes,Yes,Yes,Yes,Yes,,,,Molly,20210709,Claude,Molly,20220120,
npz9.12,12,113.2039,-27.1462,20210515,08:19,npz9.12,NPZ9,No-take,92.2,Molly,Y,Y,MBH,31,32,,RAW2,,Yes,Yes,Yes,Yes,Yes,,,,Molly,20210712,Claude,Claude,Target spp only,
npz9.5,5,113.214,-27.151,20210515,08:09,npz9.5,NPZ9,No-take,87.8,Molly,Y,Y,MBH,33,34,"Time out is an estimate, eDNA sample, lights not on",RAW2,,Yes,Yes,Yes,Yes,Yes,"forward light off, cant see much. bward image facing up a bit",,,Molly,20210721,Claude,Claude,Target spp only,eel
npz9.9,9,113.1888,-27.1288,20210515,08:48,npz9.9,NPZ9,No-take,82.1,Molly,Y,Y,MBH,35,36,,RAW2,,Yes,Yes,Yes,Yes,Yes,backwards macroalgae = CCA,,,Molly,20210723,Claude,Claude,Target spp only,stethojulis
npz9.26,26,113.2139,-27.1437,20210515,08:14,npz9.26,NPZ9,No-take,90.9,Molly,Y,Y,MBH,38,37,"Time out is an estimate, 37/38 in wrong housing",RAW2,,Yes,Yes,Yes,Yes,Yes,,,,Molly,20210727,Claude,Claude,20220120,
npz9.11,11,113.1889,-27.1238,20210515,08:46,npz9.11,NPZ9,No-take,85.8,Molly,Y,Y,MBH,39,40,,RAW2,,Yes,Yes,Yes,Yes,Yes,,,,Molly,20210728,Claude,Claude,20220120,stethojulis
npz9.19,19,113.1764,-27.1539,20210515,08:58,npz9.19,NPZ9,No-take,87.1,Molly,Y,N,MBH,41,42,Left missing,RAW2,,Yes,Yes,Yes,Yes,Yes,,,,Molly,20210809,Claude,N/A,N/A,
npz9.30,30,113.1864,-27.1187,20210515,08:43,npz9.30,NPZ9,No-take,90.3,Molly,Y,Y,MBH,43,44,,RAW2,,Yes,Yes,Yes,Yes,Yes,,,,Molly,20210818,Claude,Claude,Target spp only,
npz9.10,10,113.1565,-27.1638,20210515,10:36,npz9.10,NPZ9,No-take,93.6,Molly,Y,Y,MBH,33,34,eDNA sample,RAW2,,Yes,Yes,Yes,Yes,Yes,,,,Molly,20210721,Claude,Claude,Target spp only,"stethojulis, gerridae"
npz9.22,22,113.1413,-27.1537,20210515,10:34,npz9.22,NPZ9,No-take,102,Molly,Y,Y,MBH,38,37,37/38 in wrong housing,RAW2,,Yes,Yes,Yes,Yes,Yes,"only 4 successful points, bruv kind of facing up",,,Molly,20210727,Claude,Claude,20220120,weird wrasse
npz9.2,2,113.1465,-27.1411,20210515,10:52,npz9.2,NPZ9,No-take,92.1,Molly,Y,Y,MBH,31,32,,RAW2,,Yes,Yes,Yes,Yes,Yes,,,,Molly,20210712,Claude,Claude,20220120,
npz9.14,14,113.1364,-27.1438,20210515,10:56,npz9.14,NPZ9,No-take,101,Molly,Y,Y,MBH,29,30,,RAW2,,Yes,Yes,Yes,Yes,Yes,,,,Molly,20210709,Claude,Claude,Target spp only,parequula melbournensis (change to gerreidae spp?)
npz9.3,3,113.1239,-27.1312,20210515,11:04,npz9.3,NPZ9,No-take,104,Molly,Y,Y,MBH,27,28,,RAW2,,Yes,Yes,Yes,Yes,Yes,,,,Molly,20210706,Claude,Claude,Target spp only,pentaprion longimanus (change to gerreidae spp?)
npz9.8,8,113.1189,-27.1261,20210515,11:08,npz9.8,NPZ9,No-take,105,Molly,Y,Y,MBH,43,44,,RAW2,,Yes,Yes,Yes,Yes,Yes,,,,Molly,20210811,Claude,Claude,20220120,
npz9.24,24,113.1067,-27.1311,20210515,11:14,npz9.24,NPZ9,No-take,117,Molly,Y,Y,MBH,39,40,,RAW2,,Yes,Yes,Yes,Yes,Yes,think octocoral fan in distance but too far to be sure,,,Molly,20210728,Claude,Claude,Target spp only,"check gymnocranius (claude not convinced), good shot of sharks. C added another unknown fish"
npz9.21,21,113.1014,-27.1362,20210515,11:26,npz9.21,NPZ9,No-take,122,Molly,Y,Y,MBH,35,36,eDNA sample,RAW2,,Yes,Yes,Yes,Yes,Yes,,,,Molly,20210723,Claude,Claude,20220119,
npz9.16,16,113.109,-27.1187,20210515,13:16,npz9.16,NPZ9,No-take,108,Molly,Y,Y,MBH,33,34,Time out is an estimate,RAW2,,Yes,Yes,Yes,Yes,Yes,,,,Molly,20210721,Claude,Claude,20220119,stethojulis spp
npz9.27,27,113.1014,-27.1164,20210515,13:21,npz9.27,NPZ9,No-take,114,Molly,Y,Y,MBH,38,37,"37/38 in wrong housing, swapped",RAW2,,Yes,Yes,Yes,Yes,Yes,,,,Molly,20210728,Claude,Claude,Target spp only,good shots of typus and multidens
npz9.13,13,113.1038,-27.1113,20210515,13:27,npz9.13,NPZ9,No-take,109,Molly,Y,Y,MBH,31,32,,RAW2,,Yes,Yes,Yes,Yes,Yes,,,,Molly,20210713,Claude,Claude,Target spp only,"ostorhinchus, gerreidae, unknown wrasse (may be cyanolaemus)"
npz9.17,17,113.0913,-27.1012,20210515,13:37,npz9.17,NPZ9,No-take,114,Molly,Y,Y,MBH,29,30,,RAW2,,Yes,Yes,Yes,Yes,Yes,,,,Molly,20210712,Claude,Claude,20220119,
npz9.1,1,113.0863,-27.0962,20210515,13:43,npz9.1,NPZ9,No-take,116,Molly,Y,Y,MBH,27,28,eDNA sample,RAW2,,Yes,Yes,Yes,Yes,Yes,,,,Molly,20210709,Claude,Claude,20220119,p. typus vs multidens
npz9.28,28,113.0538,-27.1013,20210515,13:57,npz9.28,NPZ9,No-take,132,Molly,Y,Y,MBH,43,44,,RAW2,,Yes,Yes,Yes,Yes,Yes,,,,Molly,20210818,Claude,Claude,20220119,"piguipedidae spp, 1 unknown"
npz9.18,18,113.0664,-27.1236,20210515,14:08,npz9.18,NPZ9,No-take,132,Molly,Y,Y,MBH,39,40,,RAW2,,Yes,Yes,Yes,Yes,Yes,,,,Molly,20210806,Claude,Claude,20220119,
npz9.25,25,113.074,-27.1462,20210515,14:17,npz9.25,NPZ9,No-take,133,Molly,Y,Y,MBH,35,36,eDNA sample,RAW2,,Yes,Yes,Yes,Yes,Yes,,,,Molly,20210809,Claude,Claude,20220119,
npz9.4,4,113.1139,-27.1163,20210515,13:11,npz9.4,NPZ9,No-take,104,Molly,Y,N,MBH,41,42,"Both cams off, Left missing. Right cam end at 38:50",RAW2,,Yes,Yes,Yes,Yes,Yes,,,,Molly,20210809,Claude,N/A,N/A,"1 unknown, was down as p. nebulosa but i think too far to tell - C"